Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
4,CINEMATOGRAPHY ACT 1952,,,,
,Films,0,0,0,0
,Video,0,0,0,0
,Sub Total,0,0,0,0
5,CONSUMER,,,,
,"Liquified Petroleum Gas Supply & Control Order
2000",4,3,14,4
,Consumer (Protection) Act 1986,0,1,4,0
,Essential Commodities Act 1955,39,65,64,39
,Prevention of Food Adulternation Act 1954,0,0,1,0
,Packaged Commodities (Regulation) order 1975,0,0,0,0
,Sub Total,43,69,83,43
6,COPY RIGHT ACT 1957,,,,
,By Company,11,8,14,11
,By Individual,10,4,7,10
,Sub Total,21,12,21,21
7,CIVIL RIGHTS,,,,
,Protection of Civil Rights Act 1955,0,0,0,0
,Sub Total,0,0,0,0
8,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,,,
,Scheduled Caste,85,143,102,85
,Scheduled Tribes,23,21,23,23
,Scheduled Caste Women,38,33,41,38
,Scheduled Tribes Women,6,13,8,6
,Sub Total,152,210,174,152
9,CHILDREN ACT,,,,
,Child Labour (Prohibition & Regulation) Act1986,1,10,4,1
,Child Marriage (Restraint) Act - 1929,15,24,16,15
,Juvenile Justice Act 1986,1,7,3,1
,Probation of offenders Act 1958,1,1,0,1
,"Protection of Children from Sexual Offences Act
2012 (POCSO)",0,0,0,0
,Sub Total,18,42,23,18
10,PREVENTION OF CORRUPTION ACT 1988,,,,
,Public Servant - Elected,0,0,0,0
,Public Servant - Gazetted - Central,0,0,0,0
,Public Servant - Gazetted - Defence,0,0,0,0
,"Public Servant - Gazetted - Public Sector
Undertaking",0,0,0,0
,Public Servant - Gazetted - State,0,0,0,0
,Public Servant - Non-Gazetted - Central,0,0,0,0
,Public Servant - Non-Gazetted - Defence,0,0,0,0
,Public Servant - Non-Gazetted - State,0,0,0,0
,Sub Total,0,0,0,0
11,CUSTOMS,,,,
,Customs Act 1962,0,0,0,0
,Import/Export (Control) Act 1947,0,0,0,0
,Sub Total,0,0,0,0
12,Explosives,,,,
,Explosives Substances Act 1908,2,3,4,2
,Explosives Act 1884,0,3,3,0
,Inflammable Substance Act 1952,0,1,0,0
,Sub Total,2,7,7,2
13,FOREIGN EXCHANGE,,,,
,"Smugglers and Foreign Exchange Manipulator Act
1976",0,0,0,0
,Foreign Exchange Regulation Act 1973,0,0,0,0
,Foreign Exchange Regulation Act 1952,0,0,0,0
,Sub Total,0,0,0,0
14,FOREIGNER,,,,
,Foreigners Act 1946,2,4,2,2
