S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KPA Mysore,39,5,34,
76,KSPTS Channapatna,23,1,22,
77,KSPTS Khanapur,20,18,2,
78,KSRP PTS BELAGAVI,16,7,9,
79,KSRP Training Munirabad,16,12,4,
80,PDMS Yelahanka,24,5,19,
81,PTC Gulbarga,28,1,27,
82,PTS Aimangala,20,1,19,
83,PTS Dharwad,18,3,15,
84,PTS Hassan,19,3,16,
85,PTS Kaduru,17,0,17,
86,PTS Mysuru,21,12,9,
87,PTS Thanisandra,20,0,20,
88,RFSL Ballari,5,1,4,
89,RFSL Belgaum,10,0,10,
90,RFSL Davanagere,8,2,6,
91,RFSL Gulbarga,7,0,7,
92,RFSL Hubballi,5,0,5,
93,RFSL Mangalore,9,3,6,
94,RFSL Mysore,8,4,4,
95,SCRB,38,11,27,
96,Southern Range,5,1,4,
97,SP DCRE Bengaluru City,1,1,0,
98,SP DCRE Central Range,4,2,2,
99,SP DCRE Eastern Range,2,0,2,
100,SP DCRE Northern Range,2,1,1,
101,SP DCRE Southern Range,2,0,2,
102,SP DCRE Western Range,2,1,1,
103,Special Task Force,2,0,2,
104,State Wireless,81,16,65,
105,TTI Bangalore,3,0,3,
106,Western Range,3,1,2,
,Grand Total,12616,5505,7111,
