Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 4 2,928,1270,365,1889,2254
2,State Highways,251,625,876,257,1214,1471
3,Other Roads,3 63,1338,1701,376,2004,2380
,TOTAL,956,2891,3847,998,5107,6105
