S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,17,1,
76,KSRP Training Munirabad,15,13,2,
77,PDMS Yelahanka,28,27,1,
78,PTC Gulbarga,35,33,2,
79,PTS Aimangala,18,4,14,
80,PTS Dharwad,19,12,7,
81,PTS Hassan,20,7,13,
82,PTS Kaduru,15,15,0,
83,PTS Mysuru,21,21,0,
84,PTS Thanisandra,19,15,4,
85,RFSL Ballari,4,0,4,
86,RFSL Belgaum,8,6,2,
87,RFSL Davanagere,8,3,5,
88,RFSL Gulbarga,8,1,7,
89,RFSL Hubballi,1,1,0,
90,RFSL Mangalore,12,5,7,
91,RFSL Mysore,11,5,6,
92,SCRB,43,34,9,
93,Southern Range,5,4,1,
94,Special Task Force,7,0,7,
95,State Wireless,77,77,0,
96,Western Range,2,2,0,
,Grand Total,12818,11310,1508,
