Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Vijayapur District,558,555,99.46
2,Dakshina Kannada District,191,182,95.29
3,Uttara Kannada District,312,297,95.19
4,Koppal District,247,235,95.14
5,Yadgir District,259,244,94.21
6,Dharwad District,203,190,93.60
7,Mysuru City,260,243,93.46
8,Chikkamagaluru District,401,364,90.77
9,Bagalkot District,348,313,89.94
10,Udupi District,301,270,89.70
11,Tumakuru District,905,792,87.51
12,Kalaburagi City,255,222,87.06
13,Chitradurga District,523,439,83.94
14,Belagavi District,1066,893,83.77
15,SP Railways,72,55,76.39
16,Gadag District,313,233,74.44
17,Raichur District,429,306,71.33
18,Chamarajanagar District,278,198,71.22
19,Haveri District,320,223,69.69
20,Davanagere District,491,329,67.01
21,Bengaluru District,735,481,65.44
22,Ramanagara District,444,246,55.41
23,K.G.F District,129,70,54.26
24,Mandya District,515,263,51.07
25,Kolar District,260,128,49.23
26,Bidar District,405,170,41.98
27,Hassan District,566,231,40.81
28,Bengaluru City,5035,1966,39.05
29,Mysuru District,517,191,36.94
30,Ballari District,288,103,35.76
31,Chickballapura District,351,111,31.62
32,Hubballi Dharwad City,354,110,31.07
33,Mangalore COP,481,137,28.48
34,Vijayanagara District,404,110,27.23
35,KODAGU(Madikeri) District,169,37,21.89
36,Kalaburagi District,318,54,16.98
37,Belagavi City,213,33,15.49
38,Shivamogga District,729,78,10.70
Total,,19645,11102,56.51
