Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 6 9,782,1051,282,1468,1750
2,State Highways,196,556,752,195,1127,1322
3,Other Roads,2 54,1174,1428,255,1622,1877
,TOTAL,719,2512,3231,732,4217,4949
