Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 8 9,876,1165,331,1511,1842
2,State Highways,218,570,788,241,1004,1245
3,Other Roads,3 30,1291,1621,333,1805,2138
,TOTAL,837,2737,3574,905,4320,5225
