Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,745,86,99,89
,On Highways,0,0,0,0
,In Trains,1,0,0,0
,At Banks,2,1,0,0
,At Commercial Places / Establishments,28,3,2,1
,In Other Places,53,5,8,2
,Temple Theft,13,2,0,1
,Sub Total,842,97,109,93
,Total Burglary (Burglary Day + Burglary Night),4098,512,429,373
11,THEFT (Sec.379 to 389 IPC),,,,
,Government Office,3,0,0,3
,Of Automobiles - Of Tractors,59,9,6,5
,Of Mines,19,0,1,5
,Attempt to commit,39,8,5,4
,Of Sand,983,103,69,65
,In Running Bus,29,0,11,7
,Of Snatching,109,0,34,37
,At ATM,10,1,1,2
,Communication And Elec. Wire,195,26,20,27
,Of Cattle,385,42,58,36
,Of Cycle,80,21,6,4
,Of Automobiles - Of Lorries/Trucks,72,12,10,7
,Of Automobiles - Of Buses,8,1,0,1
,Of Automobiles - Of Cars / Jeeps,185,29,23,18
,Of Automobiles - Of Two Wheelers,8506,1079,874,817
,Of Automobies - of Three Wheelers,231,28,28,28
,Of Accessories of Motor Vehicle,255,31,25,32
,Govt. Vehicle,3,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",1036,184,107,89
,Of Fire Arms,5,1,2,1
,Of Explosives,0,0,0,0
,Of Cultural - Idols,5,0,0,1
,Of Cultural - Painting,1,0,0,0
,Of Cultrual - Others,186,22,21,17
,Cash,443,54,44,48
,Jewellery,1211,121,106,126
,Other Items Not Included Above,1392,193,149,130
,In Running Train,33,8,4,7
,Extortion,208,22,18,31
,House Theft,1458,214,147,164
,Servant Theft,386,39,34,47
,Sub Total,17535,2248,1803,1759
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,772,86,73,44
,Employee - Govt.,0,0,0,0
,Labour - Private Sector,2,0,0,0
,Labour - Public Sector,1,0,0,0
,Linguistic,2,0,0,0
,Political,14,1,1,2
,Regional,5,1,1,0
,Sectarian,0,0,0,0
,Students,5,3,0,0
,Tribal,0,0,0,0
,Due to Village Disputes,21,0,2,2
,Communal,20,0,0,18
,Industrial,3,0,0,0
,Caste,5,0,0,0
,Agrarian,1,0,0,0
,Others,1905,241,151,211
,Sub Total,2756,332,228,277
13,"OFFENCES AGAINST STATE (Sec. 121 to 130,
except 124(A) IPC)",0,0,0,0
14,"OFFENCES PROMOTING ENEMITY (Sec. 153(A),
154(B) & 505 IPC",79,11,3,12
15,CRIMINAL BREACH OF TRUST,425,54,58,42
