"Comparitive Crime Statement 17 for the Years 2024, 2025, and 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2024,,,,,,,,,,,,,2025,,,,,,,,,,,,,2026 As on 31/03/2026,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,Dis/,Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,Dis/,Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,Dis/,Com,PT,UI,Un,OD,AB
PART-I (IPC/BNS Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder,1202,58,22,1122,0,15,58,3,961,15,29,2,39,1210,33,20,1157,0,4,4,0,1001,109,8,1,30,281,0,2,279,0,0,0,0,12,266,0,0,
Attempt to murder,2715,149,13,2553,0,19,154,11,2256,57,20,20,16,3202,110,7,3085,0,3,29,2,2251,771,5,19,5,948,1,4,943,0,0,0,0,52,890,0,1,
C.H.Not Amounting to murder,134,9,0,125,0,5,4,0,94,4,1,2,15,133,4,1,128,0,0,1,0,81,33,0,2,11,24,0,0,24,0,0,0,0,1,23,0,0,
Dacoity,150,12,4,134,0,1,0,0,118,4,10,1,0,141,3,1,137,0,0,0,0,101,34,1,1,0,37,0,0,37,0,0,0,0,1,36,0,0,
Preparation And Assembly For Dacoity,120,0,0,120,0,0,1,0,117,2,0,0,0,67,0,0,67,0,0,0,0,60,7,0,0,0,7,0,0,7,0,0,0,0,1,6,0,0,
Robbery,985,37,10,938,0,8,18,4,698,13,193,4,0,617,25,6,586,0,0,2,0,324,222,37,1,0,182,1,0,181,0,0,0,0,12,169,0,0,
Chain Snatching,619,9,7,603,0,5,12,1,408,13,162,2,0,462,8,0,454,0,2,2,0,260,164,26,0,0,97,0,0,97,0,0,0,0,6,91,0,0,
H.B.T by day,1132,40,0,1092,0,8,14,1,495,38,532,2,2,1102,21,0,1081,0,1,5,1,375,413,285,1,0,255,0,0,255,0,0,0,0,6,249,0,0,
H.B.T by night,4330,40,2,4288,0,19,42,3,1674,94,2447,6,3,3918,24,1,3893,0,4,6,1,1048,1500,1332,1,1,920,2,0,918,0,0,0,0,18,889,11,0,
