Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",0,1,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),5,1,3,2
4,Kidnapping & Abduction of Children,743,280,379,364
4.1,For Ransom - of Children,1,0,1,0
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,1,0,0,1
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,1,0,0,1
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,0,2,0,0
,Sub Total,746,282,380,366
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,28,13,9,19
7,POCSO Act,702,348,361,341
8,Death of Children due to miscarriage,2,0,0,2
9,Juvenile Justice Act,20,13,11,9
10,Child Labour (Pro.& Reg.) Act,15,6,9,6
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),1518,664,773,745
