Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,"CYBER CRIME (INFORMATION TECHNOLOGY
ACT)",,,,
,"Information Technology Act 2000, 2009",31,15,9,6
,CSAM (Child Pornography). Cyber Tip Line,53,0,29,12
,Online Money Transfer,563,101,157,128
,Credit Card Fraud,176,48,49,35
,Loan App,74,11,17,15
,"Ransomeware Attack, Installing Spyware &
Troman, Using Other Malware & Viruses to infect
degital serv",8,0,0,3
,"Gifts, iPhone & Lottery Fraud",42,11,7,9
,Deep Fake/Deep Nudes,25,2,3,4
,"Investment Fraud (Part Time Job, Task, Review)",369,227,74,70
,Card Skimming,1,1,1,0
,Job Fraud,120,72,28,25
,Business Fraud,50,15,15,11
,Hacking of Accounts & Ids,86,9,18,26
,Phishing (Taking Password & Information),6,6,1,1
,Email Spoofing / Fraud,13,3,1,1
,SIM card Swapping / SIM Jacking / SIM Cloning,10,0,3,4
,"Social Media Cases
(Instagram/Facebook/Whatsapp/X /Telegram etc)",207,42,40,57
,"Crypto Currency, Bitcoin, etc.",26,4,6,4
,Remote Access Fraud (Any Desk/ Team Viewer),2,0,0,0
,OLX Fraud,44,13,12,7
,Data Theft,23,7,5,6
,Fedex,1,2,0,0
,"OTP Frauds (KYC Update, Apk Link)",458,46,101,110
,Matrimony Fraud,32,7,2,5
,Sextortion and Revenge Porn,30,12,8,9
,Advertising Frauds,33,6,8,5
,Investment Fraud (Trading & Share Trading),956,206,223,173
,Fake Customer Care,162,16,31,40
,ATM Fraud,9,1,1,6
,Digital Arrest,61,10,17,15
,AEPS (Aadhaar),0,0,0,0
,Others,561,115,146,141
,Sub Total,4232,1008,1012,928
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Gang Rape,3,0,0,1
,Custodial Rape,0,0,0,0
,Rape with Murder,0,1,0,0
,Rape,1168,273,318,287
,Others,425,108,104,106
,Sub Total,1596,382,422,394
38,Aadhar Act,,,,
,Impersonation,0,0,0,0
,Offence by Individual,1,0,0,0
,Offence by Company,1,0,1,0
,Sub Total,2,0,1,0
,Total (Item 1 to 36),23735,5221,6847,5447
