S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,159,108,51,
2,Ballari,149,138,11,
3,Belagavi City,228,213,15,
4,Belagavi Dist,276,241,35,
5,Bengaluru City,"3,190","1,292",1898,
6,Bengaluru Dist,242,59,183,
7,Bidar,192,92,100,
8,Chamarajanagar,121,79,42,
9,Chickballapura,123,95,28,
10,Chikkamagaluru,192,110,82,
11,Chitradurga,196,80,116,
12,Coastal Security Police,56,29,27,
13,Dakshina Kannada,153,153,0,
14,Davanagere,199,85,114,
15,Dharwad,110,103,7,
16,Gadag,180,138,42,
17,Hassan,196,161,35,
18,Haveri,164,101,63,
19,Hubballi Dharwad City,245,116,129,
20,K.G.F,83,46,37,
21,Kalaburagi,201,94,107,
22,Kalaburagi City,163,66,97,
23,Karnataka Railways,98,69,29,
24,Kodagu,148,84,64,
25,Kolar,161,100,61,
26,Koppal,157,137,20,
27,Mandya,197,112,85,
28,Mangaluru City,219,92,127,
29,Mysuru City,248,93,155,
30,Mysuru Dist,179,109,70,
31,Raichur,176,108,68,
32,Ramanagara,160,87,73,
33,Shivamogga,199,143,56,
34,Tumakuru,265,82,183,
35,Udupi,144,114,30,
,,,,,
