"Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of
January- 2024",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3865,0,6,7,14,534100
2,Mysuru City,267,0,0,0,0,28800
3,Hubli-Dharwad City,8,0,0,0,0,1000
4,Mangaluru City,168,0,0,0,0,6950
5,Belagavi City,302,0,0,0,0,19300
6,Kalburgi City,15,0,0,0,0,1600
II,Central Range,,,,,,
1,Bengaluru Dist.,182,0,0,0,0,16300
2,K.G.F.,131,0,0,0,0,12200
3,Kolar,197,0,0,0,0,0
4,Tumakuru,42,0,0,0,0,6250
5,Chickballapura,68,0,0,0,0,6800
6,Ramanagara,326,0,0,0,0,33600
III,Eastern Range,,,,,,
1,Chitradurga,157,0,0,0,0,14300
2,Davanagere,301,0,0,0,0,29850
3,Shivamogga,362,1,0,0,0,37850
4,Haveri,135,0,0,0,0,12250
IV,Western Range,,,,,,
1,Chickmagalur,163,0,0,0,0,20550
2,D.K.,179,0,0,0,0,14950
3,Udupi,56,0,0,0,0,7800
4,U.K.,96,0,0,0,0,10600
V,Northern Range,,,,,,
1,Bagalakote,160,0,0,0,0,18800
2,Belagavi dist.,180,0,0,0,0,1800
3,Vijayapura,9,0,0,0,0,900
4,Dharwad,54,0,0,0,0,7600
5,Gadag,402,0,0,0,0,37800
VI,North Eastern Range,,,,,,
1,Bidar,37,0,0,0,0,4100
2,Kaburgi,91,0,0,0,0,9600
3,Yadgiri,237,0,0,0,0,20950
VII,Southern Range,,,,,,
1,Chamarajanagar,322,0,0,0,0,21450
2,Hassan,65,0,0,0,0,3500
3,Kodagu,48,0,0,0,0,3650
4,Mandya,131,0,0,0,0,12600
5,Mysuru Dist.,129,0,0,0,0,13000
VIII,Ballari Range,,,,,,
1,Ballari,611,0,0,0,0,59850
2,Vijayanagara,273,0,0,0,0,27500
3,Koppal,456,0,0,0,0,45400
4,Raichur,609,0,0,0,0,62800
IX,Karnataka Railways,37,0,0,0,0,4600
Total,,10871,1,6,7,14,1170950
