S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,235,235,0,
37,Vijayanagara,148,147,1,
38,Vijayapur,218,217,1,
39,Yadgir,148,114,34,
40,Forest Cell,20,11,9,
41,CID,236,153,83,
42,ISD Bengaluru,82,81,1,
43,State INT,693,566,127,
44,APTS Yelahanka,20,5,15,
45,Battalion I - Bangalore,64,62,2,
46,Battalion II - Belgaum,36,32,4,
47,Battalion III - Bangalore,49,48,1,
48,Battalion IV - Bangalore,44,19,25,
49,Battalion IX - Bangalore,38,38,0,
50,Battalion V - Mysore,43,43,0,
51,Battalion VI - Gulbarga,41,39,2,
52,Battalion VII - Mangalore,36,33,3,
53,Battalion VIII - Shimoga,45,44,1,
54,Battalion X - Haveri,43,36,7,
55,Battalion XI - Hassan,47,47,0,
56,Battalion XII Tumakuru,40,40,0,
57,Central Range,1,0,1,
58,Centre for Counter Terrorism,43,17,26,
59,Chief Office,132,80,52,
60,COMMANDANT MOUNTED,KARP 26,24,2,
61,Eastern Range,1,1,0,
62,FPB Unit,18,5,13,
63,FSL Madiwala,24,19,5,
64,I.R.B. Vijayapura,40,12,28,
65,IGP TRAINING,8,8,0,
66,IIIrd BN KSISF,27,26,1,
67,IInd BN KSISF,25,25,0,
68,IRB Munirabad,47,39,8,
69,ISD,104,98,6,
70,Ist BN KSISF,43,43,0,
71,Kalaburgi Range,7,4,3,
72,KPA Mysore,38,38,0,
73,KSPTS Channapatna,20,20,0,
74,KSPTS Khanapur,23,23,0,
,,,,,
