"CASES REPORTED UNDER IPC/BNS AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC/BNS CRIMES,,SLL CRIMES,
,,"During the month
under review
(June-2025)","During the current
Year Upto the month
under review","During the month
under review
(June -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2705,17023,2512,9942
2,Mysuru City,183,1082,54,69
3,Hubballi Dharwad City,125,795,241,719
4,Mangaluru City,226,1146,62,612
5,Belagavi City,142,848,88,285
6,Kalaburagi City,136,895,148,588
,Central Range,,,,
1,Bengaluru Dist,500,3211,106,686
2,Ramanagara,325,1808,71,496
3,Tumakuru,504,2964,234,1535
4,Kolar,192,1067,36,259
5,Chickballapura,210,1289,117,988
6,K.G.F,70,389,46,183
,Eastern Range,,,,
1,Chitradurga,359,2054,175,978
2,Davanagere,279,1685,128,790
3,Shivamogga,421,2585,277,1097
4,Haveri,203,1268,92,583
,Western Range,,,,
1,Dakshina Kannada,169,867,36,165
2,Udupi,165,1259,109,343
3,Chikkamagaluru,242,1378,145,603
4,Uttara Kannada,196,1221,133,573
,Northern Range,,,,
1,Belagavi Dist,353,2253,178,975
2,Bagalkot,192,1111,90,578
3,Vijayapur,277,1618,171,1107
4,Dharwad,96,544,44,270
5,Gadag,77,504,100,570
,North Eastern Range,,,,
1,Kalaburagi,230,1398,87,469
2,Bidar,307,1653,59,677
3,Yadgir,143,830,75,520
,Southern Range,,,,
1,Mysuru Dist,436,2659,63,467
2,Mandya,364,2243,162,625
3,Chamarajanagar,140,1056,90,494
4,Hassan,410,2507,253,822
5,Kodagu,137,869,83,342
,Ballari Range,,,,
1,Ballari,176,938,160,928
2,Koppal,168,989,84,564
3,Raichur,244,1519,146,727
4,Vijayanagara,171,1013,139,646
,Karnataka Railways,66,369,6,46
,STATE,11339,68907,6800,32321
