Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Registration of Foreigners Act 1939,0,0,0,0
,Sub Total,7,2,0,3
15,FOREST,,,,
,Indian Forest Act 1927,0,0,0,0
,Forest (Conservation) Act 1980,7,0,4,0
,Sub Total,7,0,4,0
16,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
17,IMMORAL TRAFFIC,,,,
,Organised,40,7,7,8
,Un-Organised,29,8,5,11
,Sub Total,69,15,12,19
18,BONDED LABOUR SYSTEM,27,2,0,0
19,INDIAN MOTOR VEHICLE,2,0,1,0
20,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,1047,170,418,244
,Synthetic,886,144,339,226
,Sub Total,1933,314,757,470
21,PASSPORT ACT,,,,
,Foreigner,0,0,0,0
,Indian,2,3,0,1
,Sub Total,2,3,0,1
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,,,
,Assembly,140,0,8,132
,Parliament,0,0,0,0
,Other Elected Bodies,8,0,1,7
,Sub Total,148,0,9,139
23,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),1648,431,437,268
,Street Gambling (87),1914,781,880,359
,House Gambling (79 & 80),65,11,33,17
,Betting,229,274,15,170
,Others,723,36,352,315
,Sub Total,4579,1533,1717,1129
24,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY
ACT 1984",41,18,12,10
25,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",4,0,3,0
26,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,0,0,0,0
,Essential Services Maintenance Act 1981,0,0,0,0
,Sub Total,0,0,0,0
27,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
28,RAILWAYS ACT,,,,
,Indian Railways Act 1989,2,0,1,0
,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
,Sub Total,2,0,1,0
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,0,0,0,0
30,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,623,195,164,151
,Commission of SATI (Prevention) Act 1987,0,0,0,0
,"Indecent Representation of Women (Prohibition) Act
1986",0,0,0,0
,Sub Total,623,195,164,151
31,INDIAN LUNACY ACT,0,0,0,0
