Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,Advertising Frauds,15,0,5,9
,AEPS (Aadhaar),6,0,2,0
,ATM Fraud,3,0,2,1
,Business Fraud,32,0,10,14
,Card Skimming,0,0,0,0
,Credit Card Fraud,268,0,97,113
,"Crypto Currency, Bitcoin, etc.",18,0,11,5
,CSAM (Child Pornography). Cyber Tip Line,6,0,2,3
,Data Theft,11,0,1,5
,Deep Fake/Deep Nudes,5,0,2,3
,Digital Arrest,312,0,155,152
,Email Spoofing / Fraud,7,0,3,2
,Fake Customer Care,72,1,33,39
,Fedex,216,0,103,90
,"Gifts, iPhone & Lottery Fraud",42,1,12,20
,Hacking of Accounts & Ids,65,0,8,22
,"Information Technology Act 2000, 2009",16928,2061,320,24
,"Investment Fraud (Part Time Job, Task, Review)",559,3,196,260
,Investment Fraud (Trading & Share Trading),655,0,266,272
,Job Fraud,168,0,50,70
,Loan App,77,0,26,28
,Matrimony Fraud,23,0,9,11
,OLX Fraud,32,0,18,10
,Online Money Transfer,253,0,70,82
,Others,314,0,103,185
,"Otp Frauds (KYC Update, Apk Link)",225,0,77,99
,Phishing (Taking Password & Information),17,0,8,8
,"Ransomeware Attack, Installing Spyware &
Troman, Using Other Malware & Viruses to infect
degital serv",1,0,0,1
,Remote Access Fraud (Any Desk/ Team Viewer),1,0,0,1
,Sextortion and Revenge Porn,13,0,7,4
,SIM card Swapping / SIM Jacking / SIM Cloning,6,0,5,1
,"Social Media Cases
(Instagram/Facebook/Whatsapp/X /Telegram etc)",129,1,42,34
,Sub Total,20479,2067,1643,1568
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,1,0,0,0
,Gang Rape,8,0,0,2
,Rape with Murder,0,0,0,0
,Rape,2671,243,178,183
,Others,916,78,59,75
,Sub Total,3596,321,237,260
,Total (Item 1 to 36),55142,5689,4321,5620
