Month,Year,Security Cases,,,Total
,,"107
Cr.PC/126
BNSS","109
Cr.PC/128
BNSS","110
Cr.PC/129
BNSS",
January,2025,1418,493,681,2592
December,2024,1199,270,480,1949
January,2024,1724,688,1339,3751
