S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,167,167,0,
2,Ballari,165,165,0,
3,Belagavi City,209,209,0,
4,Belagavi Dist,282,276,6,
5,Bengaluru City,"3,204","2,216",988,
6,Bengaluru Dist,205,23,182,
7,Bidar,222,222,0,
8,Chamarajanagar,157,157,0,
9,Chickballapura,139,139,0,
10,Chikkamagaluru,246,242,4,
11,Chitradurga,192,97,95,
12,Coastal Security Police,42,22,20,
13,Dakshina Kannada,174,174,0,
14,Davanagere,214,120,94,
15,Dharwad,117,116,1,
16,Gadag,161,136,25,
17,Hassan,213,213,0,
18,Haveri,143,102,41,
19,Hubballi Dharwad City,249,249,0,
20,K.G.F,98,92,6,
21,Kalaburagi,201,106,95,
22,Kalaburagi City,153,122,31,
23,Karnataka Railways,90,89,1,
24,Kodagu,151,151,0,
25,Kolar,195,159,36,
26,Koppal,175,175,0,
27,Mandya,242,241,1,
28,Mangaluru City,225,160,65,
29,Mysuru City,241,181,60,
30,Mysuru Dist,218,209,9,
31,Raichur,173,171,2,
32,Ramanagara,200,131,69,
33,Shivamogga,267,265,2,
34,Tumakuru,298,189,109,
35,Udupi,205,195,10,
,,,,,
