Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
4,CINEMATOGRAPHY ACT 1952,,,,
,Films,1,0,0,1
,Video,0,0,0,0
,Sub Total,1,0,0,1
5,CONSUMER,,,,
,"Liquified Petroleum Gas Supply & Control Order
2000",18,2,11,7
,Consumer (Protection) Act 1986,0,1,0,0
,Essential Commodities Act 1955,70,30,35,35
,Prevention of Food Adulternation Act 1954,0,1,0,0
,Packaged Commodities (Regulation) order 1975,0,0,0,0
,Sub Total,88,34,46,42
6,COPY RIGHT ACT 1957,,,,
,By Company,23,17,13,10
,By Individual,18,5,12,6
,Sub Total,41,22,25,16
7,CIVIL RIGHTS,,,,
,Protection of Civil Rights Act 1955,0,0,0,0
,Sub Total,0,0,0,0
8,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,,,
,Scheduled Caste,240,87,124,116
,Scheduled Tribes,58,17,26,32
,Scheduled Caste Women,86,30,45,41
,Scheduled Tribes Women,28,11,13,15
,Sub Total,412,145,208,204
9,CHILDREN ACT,,,,
,Child Labour (Prohibition & Regulation) Act1986,17,4,13,4
,Child Marriage (Restraint) Act - 1929,19,14,8,11
,Juvenile Justice Act 1986,16,1,9,7
,Probation of offenders Act 1958,0,0,0,0
,"Protection of Children from Sexual Offences Act
2012 (POCSO)",0,0,0,0
,Sub Total,52,19,30,22
10,PREVENTION OF CORRUPTION ACT 1988,,,,
,Public Servant - Elected,0,0,0,0
,Public Servant - Gazetted - Central,0,0,0,0
,Public Servant - Gazetted - Defence,0,0,0,0
,"Public Servant - Gazetted - Public Sector
Undertaking",0,0,0,0
,Public Servant - Gazetted - State,0,0,0,0
,Public Servant - Non-Gazetted - Central,0,0,0,0
,Public Servant - Non-Gazetted - Defence,0,0,0,0
,Public Servant - Non-Gazetted - State,0,0,0,0
,Sub Total,0,0,0,0
11,CUSTOMS,,,,
,Customs Act 1962,0,0,0,0
,Import/Export (Control) Act 1947,0,0,0,0
,Sub Total,0,0,0,0
12,Explosives,,,,
,Explosives Substances Act 1908,7,0,2,5
,Explosives Act 1884,12,2,8,4
,Inflammable Substance Act 1952,0,0,0,0
,Sub Total,19,2,10,9
13,FOREIGN EXCHANGE,,,,
,"Smugglers and Foreign Exchange Manipulator Act
1976",0,0,0,0
,Foreign Exchange Regulation Act 1973,0,0,0,0
,Foreign Exchange Regulation Act 1952,0,0,0,0
,Sub Total,0,0,0,0
14,FOREIGNER,,,,
,Foreigners Act 1946,0,2,0,0
