Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",0,0,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),10,6,5,5
4,Kidnapping & Abduction of Children,714,212,348,366
4.1,For Ransom - of Children,1,0,0,1
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,0,1,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,0,0,0
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,4,2,1,3
,Sub Total,719,215,349,370
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,19,14,8,11
7,POCSO Act,601,240,323,278
8,Death of Children due to miscarriage,7,2,3,4
9,Juvenile Justice Act,16,1,9,7
10,Child Labour (Pro.& Reg.) Act,17,4,13,4
11,Probation of Offenders Act,0,0,0,0
,Total (Item 1 to 11),1389,482,710,679
