S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,174,131,43,
2,Ballari,182,61,121,
3,Belagavi City,238,155,83,
4,Belagavi Dist,280,121,159,
5,Bengaluru City,"3,186","1,971",1215,
6,Bengaluru Dist,223,53,170,
7,Bengaluru South,174,60,114,
8,Bidar,194,70,124,
9,Chamarajanagar,111,73,38,
10,Chickballapura,133,98,35,
11,Chikkamagaluru,192,100,92,
12,Chitradurga,181,59,122,
13,Coastal Security Police,55,13,42,
14,Dakshina Kannada,160,148,12,
15,Davanagere,178,73,105,
16,Dharwad,102,78,24,
17,Gadag,111,69,42,
18,Hassan,195,42,153,
19,Haveri,172,77,95,
20,Hubballi Dharwad City,194,101,93,
21,K.G.F,70,26,44,
22,Kalaburagi,225,84,141,
23,Kalaburagi City,192,62,130,
24,Karnataka Railways,92,48,44,
25,Kodagu,146,76,70,
26,Kolar,170,85,85,
27,Koppal,145,104,41,
28,Mandya,196,90,106,
29,Mangaluru City,215,172,43,
30,Mysuru City,211,82,129,
31,Mysuru Dist,170,73,97,
32,Raichur,189,82,107,
33,Shivamogga,191,133,58,
34,Tumakuru,259,56,203,
35,Udupi,148,101,47,
,,,,,
