"Comparitive Crime Statement 17 for the Years 2021, 2022, and 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023 As on 31/01/2023,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-I (IPC Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder,1350,61,29,1261,0,3,32,0,1070,78,36,2,40,1376,36,31,1309,0,0,5,0,954,323,1,3,23,104,0,1,103,0,0,0,0,0,103,0,0,
Attempt to murder,2463,150,9,2304,0,6,52,6,2056,132,32,5,15,2925,78,7,2840,0,0,12,4,1433,1377,7,7,0,242,1,0,241,0,0,0,0,1,240,0,0,
C.H.Not Amounting to murder,88,7,0,81,0,0,4,0,63,13,0,0,1,89,5,0,84,0,0,0,0,43,41,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,
Dacoity,179,17,3,159,0,0,1,0,124,26,8,0,0,221,9,4,208,0,0,0,0,96,111,1,0,0,12,0,0,12,0,0,0,0,0,12,0,0,
Preparation And Assembly For Dacoity,389,0,0,389,0,1,2,0,379,6,1,0,0,290,0,0,290,0,0,1,0,232,57,0,0,0,10,0,0,10,0,0,0,0,1,9,0,0,
Robbery,981,29,22,930,0,1,9,1,692,87,139,0,1,1075,20,10,1045,0,1,1,1,503,517,21,1,0,98,0,0,98,0,0,0,0,1,97,0,0,
Chain Snatching,664,13,5,646,0,1,4,0,448,66,127,0,0,667,3,8,656,0,0,0,0,297,339,19,1,0,54,0,0,54,0,0,0,0,1,53,0,0,
H.B.T by day,803,26,2,775,0,7,5,1,363,62,334,1,2,991,24,0,967,0,0,2,0,245,593,125,2,0,73,0,0,73,0,0,0,0,0,73,0,0,
H.B.T by night,4016,37,3,3976,0,24,17,5,1509,356,2059,2,4,4434,21,1,4412,0,3,2,1,895,2719,791,1,0,366,0,0,366,0,0,0,0,1,365,0,0,
House theft,914,51,2,861,0,2,9,5,372,31,439,2,1,1294,50,1,1243,0,2,2,0,273,601,364,1,0,136,0,0,136,0,0,0,0,0,136,0,0,
Ordinary Theft,15909,365,199,15345,0,277,176,1445,4443,558,8326,108,12,19454,354,274,18826,0,99,52,651,4004,8189,5764,65,2,1478,5,9,1464,0,0,0,0,11,1452,1,0,
Cattle thefts,412,5,3,404,0,3,4,15,178,30,172,2,0,477,7,1,469,0,1,4,7,110,252,93,0,2,32,0,0,32,0,0,0,0,0,32,0,0,
Receiving stolen Property,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cheating,5424,1418,150,3856,0,9,7,63,1737,1530,433,68,9,6409,833,132,5444,0,6,4,11,762,4454,179,25,3,520,1,3,516,0,0,0,0,1,515,0,0,
Cr.Br.Trust,478,120,9,349,0,0,0,3,154,174,12,6,0,461,45,6,410,0,0,0,1,64,340,3,2,0,35,0,0,35,0,0,0,0,0,35,0,0,
C.C.Notes,33,0,0,33,0,0,0,0,16,3,14,0,0,29,0,0,29,0,0,0,0,7,16,6,0,0,3,0,0,3,0,0,0,0,0,3,0,0,
Sub Total - PART-I,34104,2299,436,31370,0,334,322,1544,13605,3152,12132,196,85,40194,1485,475,38234,0,112,85,676,9919,19930,7374,108,30,3168,7,13,3148,0,0,0,0,17,3130,1,0,
PART-II (IPC Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"304(A),IPC",9864,93,18,9753,1,268,291,7,7231,151,802,7,996,11243,45,18,11180,1,77,40,4,5817,4317,319,4,602,952,2,1,949,0,0,0,0,2,947,0,0,
"279,337,338 IPC",25199,194,17,24988,0,13044,187,227,10390,238,813,26,63,28985,134,18,28833,0,6705,74,142,13118,8319,446,7,22,2911,0,0,2911,0,2,0,0,36,2873,0,0,
