Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 8 7,864,1151,314,1460,1774
2,State Highways,272,669,941,293,1217,1510
3,Other Roads,3 54,1107,1461,361,1758,2119
,TOTAL,913,2640,3553,968,4435,5403
