Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",19841,1232,2126,2065
,Sub Total,19841,1232,2126,2065
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,1,0,0,0
,Gang Rape,9,0,1,0
,Rape with Murder,0,0,0,0
,Rape,2340,208,204,181
,Others,962,73,80,81
,Sub Total,3312,281,285,262
,Total (Item 1 to 36),62145,3913,5248,5635
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,1,0,1,0
,1.2 Gang Rape,8,1,0,0
,1.3 other Cases of Rape,541,45,55,51
,Sub Total,550,46,56,51
2,Outraging modesty (Molestation) (sec.354 IPC),5898,500,588,489
3,Kidnapping & Abduction of Women: (Sec.366 IPC),136,14,15,11
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC
if victim is a woman)",124,4,13,8
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",10,0,2,2
7,Murder for other reasons,369,33,37,33
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",1,0,0,1
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",40,4,3,2
10,Attempt to Commit murder for other reasons,741,57,55,70
11,"Dowry Death-by burning
(Sec.304-B IPC)",4,0,1,1
12,Dowry Death-by other Means (Sec.304(B) IPC),144,18,13,13
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",2784,239,298,236
14,Abetment of Suicide (Sec.306 IPC),130,18,8,13
15,Immoral Traffic (prevention) Act.,281,17,23,40
16,"Indecent Representation of Women(Prohibition) Act-
1986",2,0,0,0
17,Pornography,3,0,0,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",118,9,13,10
19,Offences related to Marriage,33,3,2,2
20,Cyber Crimes,6966,465,681,652
,Total (Item 1 to 20),18334,1427,1808,1634
