Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
16,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
17,IMMORAL TRAFFIC,,,,
,Organised,86,15,20,28
,Un-Organised,42,5,9,14
,Sub Total,128,20,29,42
18,BONDED LABOUR SYSTEM,5,2,0,1
19,INDIAN MOTOR VEHICLE,18,4,0,0
20,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,2918,168,526,459
,Synthetic,2232,206,414,354
,Sub Total,5150,374,940,813
21,PASSPORT ACT,,,,
,Foreigner,2,0,0,0
,Indian,3,0,0,0
,Sub Total,5,0,0,0
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,,,
,Assembly,1,0,0,1
,Parliament,0,0,0,0
,Other Elected Bodies,2,0,2,0
,Sub Total,3,0,2,1
23,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),2473,605,480,434
,Street Gambling (87),3542,451,598,594
,House Gambling (79 & 80),102,12,13,12
,Betting,392,93,193,121
,Others,208,34,32,37
,Sub Total,6717,1195,1316,1198
24,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY
ACT 1984",56,5,11,14
25,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",2,0,0,0
26,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,1,0,0,0
,Essential Services Maintenance Act 1981,17,0,0,0
,Sub Total,18,0,0,0
27,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
28,RAILWAYS ACT,,,,
,Indian Railways Act 1989,1,0,1,0
,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
,Sub Total,1,0,1,0
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,0,0,0,0
30,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,837,198,183,188
,Commission of SATI (Prevention) Act 1987,0,0,0,0
,"Indecent Representation of Women (Prohibition) Act
1986",0,0,0,0
,Sub Total,837,198,183,188
31,INDIAN LUNACY ACT,0,0,0,0
32,INDIAN ELECTRICITY ACT,5,0,1,2
33,"COTPA, CIGARETTES AND OTHER TOBACCO
PRODUCTS",1110,667,140,307
34,KARNATAKA STATE LOCAL ACTS,,,,
,Prevention of Insult to National Hounours Act 1971,1,1,0,0
,"Prevention of violence against Doctors, Medical
professionals and Medical institutions",1,1,0,0
,"The Karnataka Prevention of Dangerous Activities of
Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0
,Karnataka Cow Slaughters Act,79,19,7,26
,Banning of Unregulated Deposit Schemes Act,9,0,1,0
,"Motor Spirit and High Speed Diesel (Regulation of
upply, Distribution and Prevention of Malpractice",0,0,0,0
,Karnataka Epidemic Deseases Act 2020,0,0,0,0
,"Karnataka Prevention of Slaughter and Preservation of
Cattle Act 2020",114,19,13,39
,Disaster Management Act 2005,0,0,0,0
,Karnataka Excise Act 1965,5050,871,956,989
,Karnataka Forest Act 1963,22,5,2,6
