S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Khanapur,21,21,0,
76,KSRP PTS BELAGAVI,17,16,1,
77,KSRP Training Munirabad,12,11,1,
78,PDMS Yelahanka,28,22,6,
79,PTC Gulbarga,37,20,17,
80,PTS Aimangala,18,7,11,
81,PTS Dharwad,19,19,0,
82,PTS Hassan,19,0,19,
83,PTS Kaduru,15,15,0,
84,PTS Mysuru,19,19,0,
85,PTS Thanisandra,19,0,19,
86,RFSL Ballari,5,0,5,
87,RFSL Belgaum,9,7,2,
88,RFSL Davanagere,8,8,0,
89,RFSL Gulbarga,6,5,1,
90,RFSL Hubballi,6,0,6,
91,RFSL Mangalore,12,2,10,
92,RFSL Mysore,9,6,3,
93,SCRB,49,49,0,
94,Southern Range,8,7,1,
95,Special Task Force,8,0,8,
96,State Wireless,81,80,1,
97,TTI Bangalore,5,4,1,
98,Western Range,2,0,2,
,Grand Total,12658,10314,2344,
