DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF AUGUST - 2025 (AS ON 01/09/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","City
d
a
w
ar
h
D
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
1,MURDER,1,1,4,8,12,5,2,2,0,2,4,3,1,0,1,1,7,4,0,1,1,5,0,1,2,1,5,1,1,3,1,3,1,2,3,2,5,1,97
2,DACOITY,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,10
3,ROBBERY,0,1,0,3,24,3,2,1,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,1,3,1,0,1,0,1,1,1,2,0,1,0,2,0,55
3a,CHAIN SNATCHING,1,0,0,4,3,0,1,0,0,0,1,3,0,0,0,1,2,0,0,0,0,0,2,0,0,0,4,0,0,1,0,1,0,0,0,0,1,0,25
4a,BURGLARY - DAY,3,1,2,4,14,8,7,3,0,2,3,7,2,1,1,0,1,1,0,0,4,1,0,0,2,2,3,0,0,1,1,2,6,2,2,1,4,0,91
4b,BURGLARY - NIGHT,13,4,6,14,66,29,6,15,5,5,8,6,2,8,0,3,13,21,4,8,12,8,0,2,4,6,5,3,1,21,7,6,16,1,6,1,9,3,347
5,THEFT,20,18,16,37,573,92,44,23,20,23,24,34,21,35,6,23,22,35,12,10,26,28,42,17,8,34,24,29,25,27,22,29,43,19,8,11,24,18,1522
5a,SNATCHING,0,0,0,0,39,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,47
6,RIOTS,7,8,1,13,6,2,3,3,2,10,3,29,6,19,2,7,15,19,1,3,11,4,0,0,5,7,2,2,0,14,12,29,4,1,9,6,18,4,287
7,CASES OF HURT,11,10,12,24,269,37,34,47,35,26,32,47,19,18,5,4,61,10,8,13,27,15,2,28,30,10,71,11,28,77,28,50,57,7,27,6,21,18,1235
8,Spl & Local laws,153,128,73,173,1268,81,91,70,65,108,99,119,36,102,68,122,89,89,65,25,107,71,13,45,31,102,78,91,251,72,107,135,151,65,136,77,181,75,4812
9a,"RAPE (Sec.376,
376(A) to 376
(D) IPC/64 TO
71 BNS)",3,2,1,2,22,3,2,1,0,0,3,3,1,0,0,0,4,1,2,1,1,3,0,0,0,1,3,1,0,1,4,4,4,4,4,0,1,0,82
9b,DOWRY DEATHS,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,10
