S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,148,122,26,
2,Ballari,148,88,60,
3,Belagavi City,228,116,112,
4,Belagavi Dist,273,133,140,
5,Bengaluru City,"3,182","1,469",1713,
6,Bengaluru Dist,230,54,176,
7,Bidar,204,82,122,
8,Chamarajanagar,110,52,58,
9,Chickballapura,125,73,52,
10,Chikkamagaluru,191,90,101,
11,Chitradurga,185,63,122,
12,Coastal Security Police,55,8,47,
13,Dakshina Kannada,155,143,12,
14,Davanagere,177,65,112,
15,Dharwad,107,106,1,
16,Gadag,121,32,89,
17,Hassan,191,57,134,
18,Haveri,161,64,97,
19,Hubballi Dharwad City,246,121,125,
20,K.G.F,75,25,50,
21,Kalaburagi,201,37,164,
22,Kalaburagi City,174,38,136,
23,Karnataka Railways,94,23,71,
24,Kodagu,150,52,98,
25,Kolar,163,49,114,
26,Koppal,144,102,42,
27,Mandya,199,78,121,
28,Mangaluru City,219,73,146,
29,Mysuru City,235,83,152,
30,Mysuru Dist,164,84,80,
31,Raichur,176,95,81,
32,Ramanagara,160,54,106,
33,Shivamogga,202,133,69,
34,Tumakuru,251,71,180,
35,Udupi,144,104,40,
,,,,,
