S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,184,184,0,
2,Ballari,165,165,0,
3,Belagavi City,204,204,0,
4,Belagavi Dist,280,280,0,
5,Bengaluru City,"3,156","2,248",908,
6,Bengaluru Dist,204,48,156,
7,Bidar,222,222,0,
8,Chamarajanagar,153,153,0,
9,Chickballapura,145,145,0,
10,Chikkamagaluru,259,259,0,
11,Chitradurga,192,149,43,
12,Coastal Security Police,50,26,24,
13,Dakshina Kannada,174,174,0,
14,Davanagere,214,203,11,
15,Dharwad,117,117,0,
16,Gadag,161,155,6,
17,Hassan,210,209,1,
18,Haveri,143,135,8,
19,Hubballi Dharwad City,250,249,1,
20,K.G.F,112,112,0,
21,Kalaburagi,244,196,48,
22,Kalaburagi City,153,153,0,
23,Karnataka Railways,90,89,1,
24,Kodagu,151,148,3,
25,Kolar,195,195,0,
26,Koppal,175,175,0,
27,Mandya,238,238,0,
28,Mangaluru City,222,202,20,
29,Mysuru City,239,204,35,
30,Mysuru Dist,228,228,0,
31,Raichur,173,173,0,
32,Ramanagara,196,166,30,
33,Shivamogga,265,265,0,
34,Tumakuru,298,274,24,
35,Udupi,204,204,0,
,,,,,
