Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Registration of Foreigners Act 1939,0,0,0,0
,Sub Total,1,0,0,1
15,FOREST,,,,
,Indian Forest Act 1927,2,0,0,2
,Forest (Conservation) Act 1980,4,3,3,1
,Sub Total,6,3,3,3
16,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
17,IMMORAL TRAFFIC,,,,
,Organised,69,7,19,28
,Un-Organised,31,6,9,12
,Sub Total,100,13,28,40
18,BONDED LABOUR SYSTEM,0,0,0,0
19,INDIAN MOTOR VEHICLE,19,1,11,6
20,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,356,420,126,143
,Synthetic,571,337,149,227
,Sub Total,927,757,275,370
21,PASSPORT ACT,,,,
,Foreigner,0,0,0,0
,Indian,1,0,0,1
,Sub Total,1,0,0,1
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,,,
,Assembly,1,9,0,1
,Parliament,9,0,0,9
,Other Elected Bodies,3,1,2,1
,Sub Total,13,10,2,11
23,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),1470,437,510,494
,Street Gambling (87),1475,885,440,554
,House Gambling (79 & 80),56,33,21,22
,Betting,74,15,5,57
,Others,208,348,49,105
,Sub Total,3283,1718,1025,1232
24,"PREVENTION OF DAMAGE TO PUBLIC
PROPERTY ACT 1984",42,13,16,15
25,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",0,3,0,0
26,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,0,0,0,0
,Essential Services Maintenance Act 1981,0,0,0,0
,Sub Total,0,0,0,0
27,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
28,RAILWAYS ACT,,,,
,Indian Railways Act 1989,0,1,0,0
,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
,Sub Total,0,1,0,0
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,3,0,0,3
30,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,520,182,159,147
,Commission of SATI (Prevention) Act 1987,0,0,0,0
,"Indecent Representation of Women (Prohibition)
Act 1986",0,0,0,0
,Sub Total,520,182,159,147
31,INDIAN LUNACY ACT,0,0,0,0
