Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Sub Total,225,44,46,47
6,"KIDNAPPING AND ABDUCTION (Sec.360, 361,
363 to 369 IPC)",,,,
,Missing - Boy,316,48,58,69
,Missing - Girl,896,165,183,243
,For Ransom - of Children,4,0,1,1
,For Ransom - of Cildren for Begging,0,0,0,0
,For Ransom - of Women,1,0,1,0
,For Ransom - of Girls for Immoral Purpose,1,0,0,1
,For Ransom - of Others,16,8,1,5
,Procuration of Minor Girls - For Prostitution,0,0,0,0
,Procuration of Minor Girls - Importring of Girl,1,0,1,0
,Procuration of Minor Girls - For other Purpose,5,1,0,2
,Espionage,0,0,0,0
,Intent to Steal From Child,0,0,0,0
,Murder (Homicide),0,1,0,0
,Obtain Signature Forcibly,0,0,0,0
,Recovering Loan,0,0,0,0
,Settling any Disputes,4,1,0,2
,Unnatural Lust / Illicit Intercourse,0,0,0,0
,Wrongful Confinement,2,0,1,0
,For Exporting,0,0,0,0
,From Lawful Guardianship,1,1,0,0
,For Camel Racing Etc.,0,0,0,0
,To Compel For Marriage,10,2,1,5
,For Slavery,0,0,0,0
,For Stealing From its Person,0,0,0,0
,Others,220,56,33,61
,Sub Total,1477,283,280,389
7,DACOITY (Sec. 395 to 398 IPC ),,,,
,At ATM,0,0,0,0
,At Residential Premises,13,7,0,5
,On Highways,11,2,1,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,3,0,0,1
,On Other Roads,22,6,2,2
,In Other Places,23,7,8,3
,River & Sea,0,0,0,0
,Sub Total,72,22,11,11
7a,Preparation And Assembly for Dacoity,53,35,5,9
8,Robbery (Sec.392 to 394 IPC),,,,
,At ATM,0,0,0,0
,At Residential Premises,76,10,14,19
,On Highways,33,12,4,7
,In Trains,0,2,0,0
,At Banks,1,0,0,0
,At Commercial Places / Establishments,31,4,4,7
,In Other Places,252,50,49,59
,Chain Snatching,255,60,41,55
,Attempt to Commit,26,5,3,6
,Sub Total,674,143,115,153
9,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,1052,224,167,263
,On Highways,0,1,0,0
,In Trains,0,0,0,0
,At Banks,17,3,4,2
,At Commercial Places / Establishments,276,68,40,55
,In Other Places,232,68,36,45
,Temple Theft,132,25,22,26
,Sub Total,1709,389,269,391
