S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KPA Mysore,39,15,24,
76,KSPTS Channapatna,23,14,9,
77,KSPTS Khanapur,20,16,4,
78,KSRP PTS BELAGAVI,16,14,2,
79,KSRP Training Munirabad,16,12,4,
80,PDMS Yelahanka,24,6,18,
81,PTC Gulbarga,28,4,24,
82,PTS Aimangala,20,12,8,
83,PTS Dharwad,18,8,10,
84,PTS Hassan,19,8,11,
85,PTS Kaduru,17,6,11,
86,PTS Mysuru,21,15,6,
87,PTS Thanisandra,20,5,15,
88,RFSL Ballari,5,0,5,
89,RFSL Belgaum,10,0,10,
90,RFSL Davanagere,8,5,3,
91,RFSL Gulbarga,7,0,7,
92,RFSL Hubballi,6,0,6,
93,RFSL Mangalore,9,1,8,
94,RFSL Mysore,8,0,8,
95,SCRB,38,19,19,
96,Southern Range,5,2,3,
97,SP DCRE Bengaluru City,1,1,0,
98,SP DCRE Central Range,4,1,3,
99,SP DCRE Eastern Range,2,0,2,
100,SP DCRE Northern Range,2,1,1,
101,SP DCRE Southern Range,2,0,2,
102,SP DCRE Western Range,2,1,1,
103,Special Task Force,2,0,2,
104,State Wireless,81,32,49,
105,TTI Bangalore,3,3,0,
106,Western Range,1,0,1,
,Grand Total,12699,7854,4845,
