Name of the unit,No. of cases,Name of the unit,No. of cases
Bengaluru City,3,Bengaluru District,3
Dharwad District,2,Hassan District,2
Chitradurga District,1,Davanagere District,1
U.K. District,1,Vijayapura District,1
