Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",17771,1104,2023,2123
,Sub Total,17771,1104,2023,2123
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,9,1,1,1
,Gang Rape,1,0,0,0
,Rape with Murder,0,1,0,0
,Rape,2120,153,198,182
,Others,876,78,92,80
,Sub Total,3006,233,291,263
,Total (Item 1 to 36),56449,4119,5978,5224
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,1,0,0,1
,1.2 Gang Rape,7,1,0,0
,1.3 other Cases of Rape,490,33,52,56
,Sub Total,498,34,52,57
2,Outraging modesty (Molestation) (sec.354 IPC),5408,416,551,589
3,Kidnapping & Abduction of Women: (Sec.366 IPC),126,9,11,15
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC
if victim is a woman)",115,9,16,13
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",8,2,4,2
7,Murder for other reasons,339,36,26,36
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,0,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",38,2,4,3
10,Attempt to Commit murder for other reasons,682,51,72,55
11,"Dowry Death-by burning
(Sec.304-B IPC)",3,0,0,1
12,Dowry Death-by other Means (Sec.304(B) IPC),129,12,22,13
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",2558,206,252,300
14,Abetment of Suicide (Sec.306 IPC),117,20,6,8
15,Immoral Traffic (prevention) Act.,240,18,22,23
16,"Indecent Representation of Women(Prohibition) Act-
1986",2,1,1,0
17,Pornography,3,0,0,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",108,10,12,13
19,Offences related to Marriage,31,3,3,2
20,Cyber Crimes,6313,374,669,681
,Total (Item 1 to 20),16718,1203,1723,1811
