Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 3 5,918,1253,352,1890,2242
2,State Highways,241,629,870,244,1203,1447
3,Other Roads,3 19,1205,1524,315,1824,2139
,TOTAL,895,2752,3647,911,4917,5828
