Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,3,0,1,1
,Office,7,1,1,2
,Public Conveyance,2,0,0,0
,Public Place,14,2,3,2
,Other Places,20,1,3,6
,Sub Total,46,4,8,11
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,6,2,1,1
,Abetment of Suicide,109,25,28,16
,Other Reasons,138,23,16,27
,Attempt to Commit suicide,63,6,8,11
,Sub Total,316,56,53,55
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,2,1,0,0
,Attempt,0,0,0,0
,Major - Man,3,0,1,0
,Major - Woman,0,0,0,0
,Minor - Boy,0,0,0,0
,Minor - Girl,0,0,0,0
,Sub Total,5,1,1,0
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,7,1,2,1
,To Extort Confession,1,0,0,0
,To Extort Property,10,3,2,1
,To settle Dispute,9,1,1,2
,Others,154,40,39,28
,Sub Total,181,45,44,32
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,0,0,0,0
,Sub Total,0,0,0,0
55,"OFFENCES RELATED TO MARRIAGE (Sec.493 to
498 IPC)",20,2,2,5
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,1,0,0,0
,Property,0,0,0,0
,Sub Total,1,0,0,0
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,2,0,1,0
,Printed Matter,1,0,0,1
,Others,1,0,1,0
,Sub Total,4,0,2,1
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,1002,0,468,385
,Parliament,2,0,1,1
,Other Elected Bodies,30,1,18,6
,Sub Total,1034,1,487,392
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,0,0,0
,Boy,0,0,0,0
,Girl,0,1,0,0
,Sub Total,0,1,0,0
