Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
29,"CRIMINAL TRESPASS (Sec.447 to 452 IPC/329(3)
TO 333 BNS)",,,,
,Attempt to Commit,2,1,1,0
,Club,1,1,0,0
,Hostel,1,0,1,0
,Hotel,12,2,4,2
,House,307,51,70,62
,Land,665,134,130,142
,Office,19,4,4,4
,Prohibited Places,6,0,0,3
,Religious Place,4,0,1,0
,Restricted Area,9,0,2,2
,Others,95,17,22,23
,Sub Total,1121,210,235,238
30,CRUELTY BY HUSBAND (Sec. 498(A) IPC/85 BNS),,,,
,Husband,461,84,107,105
,Husband And Relative(S) in Law,605,121,125,160
,Relative(S) in Law,21,2,5,9
,Dowry Harassment,170,25,43,49
,Sub Total,1257,232,280,323
31,DOWRY DEATHS (Sec.304(B) IPC/80 BNS),,,,
,By Husband,2,0,1,0
,By Husband And Relatives In Law,15,5,3,1
,By Relatives in Law,1,0,0,0
,By Burning,1,0,0,0
,By Hanging,38,1,11,7
,By Other Means,4,0,0,2
,Sub Total,61,6,15,10
32,"DEATHS DUE TO RASHNESS/NEGLIGENCE
(Sec.304(A) IPC/106 BNS)",,,,
,Electrocution,10,3,2,4
,Adulterated Food/Drug,0,0,0,0
,Accident by Air,0,0,0,0
,Boad Accident,0,0,0,0
,Bridge/Dam Collapse,0,0,0,0
,Building Collapse,3,0,0,2
,Caused By Animal,1,0,0,0
,Death Due to Other Cause,47,5,9,14
,Electrocution Accident,12,7,2,8
,Explosion Accident,0,0,0,0
,Fire accident,0,0,0,0
,Gas Leakage Accident,2,1,0,0
,Improper Infrastucture In Construction,31,9,3,4
,Improper Medical Treatment,4,0,1,0
,In Custody of Public Servant,0,0,0,0
,In Jail/Judicial Custody,0,0,0,0
,In Police Custody,0,0,0,0
,Industrial Accident (Factory),2,1,2,0
,Inflammable Substance,0,0,0,0
,Mine Accident,1,1,0,0
,Poisonous Substance,0,0,0,0
,Quarry Accident,0,0,0,0
,Spurious Liquor (Hooch) Accident,0,0,0,0
,Railway Accident,1,0,0,0
,Others,33,9,6,8
,Sub Total,147,36,25,40
33,"MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A)
IPC/106 BNS)",,,,
,National Highways,1783,413,362,373
,State Highways,1433,291,271,276
,Other Roads,1867,379,376,314
,Other Places,90,12,17,20
,Sub Total,5173,1095,1026,983
