Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Belagavi District,624,624,100.00
2,Chamarajanagar District,281,281,100.00
3,Udupi District,237,236,99.58
4,Bagalkot District,275,273,99.27
5,Haveri District,363,359,98.90
6,Dharwad District,184,181,98.37
7,Ballari District,386,376,97.41
8,Dakshina Kannada District,254,247,97.24
9,Vijayapur District,446,429,96.19
10,Uttara Kannada District,396,329,83.08
11,Koppal District,288,233,80.90
12,Hubballi Dharwad City,319,229,71.79
13,Gadag District,196,118,60.20
14,KODAGU(Madikeri) District,249,148,59.44
15,Mangalore COP,329,113,34.35
16,Mysuru District,552,139,25.18
17,Davanagere District,584,134,22.95
18,Tumakuru District,830,136,16.39
19,Chickballapura District,458,73,15.94
20,Mandya District,668,104,15.57
21,Kalaburagi City,272,36,13.24
22,Hassan District,629,82,13.04
23,Kalaburagi District,370,46,12.43
24,Bengaluru City,7507,870,11.59
25,Shivamogga District,665,73,10.98
26,Mysuru City,335,32,9.55
27,Raichur District,382,35,9.16
28,SP Railways,90,8,8.89
29,Chikkamagaluru District,433,37,8.55
30,Belagavi City,172,12,6.98
31,Bengaluru District,1031,42,4.07
32,Bidar District,466,17,3.65
33,Chitradurga District,605,22,3.64
34,K.G.F District,168,3,1.79
35,Ramanagara District,518,8,1.54
36,Vijayanagara District,359,4,1.11
37,Kolar District,360,0,0.00
38,Yadgir District,247,0,0.00
TOTAL,,22528,6089,27.03
