Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
10,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO
460, 462 IPC)",,,,
,At Residential Premises,999,97,83,84
,On Highways,0,0,0,0
,In Trains,1,0,0,0
,At Banks,3,0,1,0
,At Commercial Places / Establishments,31,8,1,2
,In Other Places,71,5,5,8
,Temple Theft,23,0,1,0
,Sub Total,1128,110,91,94
,Total Burglary (Burglary Day + Burglary Night),5450,553,425,427
11,THEFT (Sec.379 to 389 IPC),,,,
,Attempt to commit,47,5,4,2
,Of Automobiles - Of Tractors,86,15,6,11
,In Running Bus,72,0,18,7
,Of Snatching,235,0,28,54
,At ATM,16,3,2,3
,Of Sand,1259,95,87,120
,Government Office,12,0,2,4
,Of Mines,28,0,5,2
,Communication And Elec. Wire,276,21,30,23
,Of Cattle,501,39,29,31
,Of Cycle,93,14,6,2
,Of Automobiles - Of Lorries/Trucks,85,12,1,8
,Of Automobiles - Of Buses,10,1,0,2
,Of Automobiles - Of Cars / Jeeps,259,24,22,31
,Of Automobiles - Of Two Wheelers,10874,1057,732,841
,Of Automobies - of Three Wheelers,296,25,17,30
,Of Accessories of Motor Vehicle,315,29,18,25
,Govt. Vehicle,3,0,0,0
,"Electronic Goods (Radio, TV, VCR, Acs, Office
Automation Equipments)",1292,158,71,100
,Of Fire Arms,10,2,0,1
,Of Explosives,0,0,0,0
,Of Cultural - Idols,7,1,0,2
,Of Cultural - Painting,2,0,0,1
,Of Cultrual - Others,240,28,22,22
,Cash,583,79,47,51
,Jewellery,1659,154,157,149
,Other Items Not Included Above,1804,200,124,160
,In Running Train,64,6,18,7
,Extortion,271,27,17,22
,House Theft,1922,176,152,139
,Servant Theft,528,60,52,40
,Sub Total,22849,2231,1667,1890
12,RIOTS (Sec.141 to 153 IPC),,,,
,Land Dispute,949,93,57,67
,Employee - Govt.,2,0,1,0
,Labour - Private Sector,3,0,1,0
,Labour - Public Sector,1,0,0,0
,Linguistic,2,11,0,0
,Political,24,0,2,7
,Regional,5,2,0,0
,Sectarian,0,0,0,0
,Students,6,1,0,0
,Tribal,0,0,0,0
,Due to Village Disputes,24,3,1,0
,Communal,21,0,0,0
,Industrial,3,0,0,0
,Caste,7,0,2,0
,Agrarian,1,0,0,0
,Others,2381,189,155,172
,Sub Total,3429,299,219,246
