S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,209,119,90,
37,Vijayanagara,162,145,17,
38,Vijayapura,204,201,3,
39,Yadgir,163,114,49,
40,Forest Cell,38,21,17,
41,CID,240,28,212,
42,ISD Bengaluru,87,31,56,
43,State INT,758,154,604,
44,APTS Yelahanka,20,9,11,
45,Battalion I - Bangalore,64,54,10,
46,Battalion II - Belgaum,40,39,1,
47,Battalion III - Bangalore,60,58,2,
48,Battalion IV - Bangalore,57,56,1,
49,Battalion IX - Bangalore,47,40,7,
50,Battalion V - Mysore,44,42,2,
51,Battalion VI - Gulbarga,42,35,7,
52,Battalion VII - Mangalore,36,35,1,
53,Battalion VIII - Shimoga,39,39,0,
54,Battalion X - Haveri,43,42,1,
55,Battalion XI - Hassan,38,36,2,
56,Battalion XII Tumakuru,48,47,1,
57,Centre for Counter Terrorism,62,1,61,
58,Chief Office,132,5,127,
59,COMMANDANT MOUNTED,KARP 22,13,9,
60,DCRE Headquarters Bengalu,ru 47,11,36,
61,DCRE HQ PS Bengaluru,5,4,1,
62,Eastern Range,3,1,2,
63,FPB Unit,11,1,10,
64,FSL Madiwala,27,0,27,
65,I.R.B. Vijayapura,47,44,3,
66,IGP Railways,2,2,0,
67,IGP TRAINING,11,0,11,
68,IIIrd BN KSISF,40,9,31,
69,IInd BN KSISF,39,25,14,
70,IRB AVATHI,1,0,1,
71,IRB Munirabad,50,47,3,
72,ISD,177,125,52,
73,Ist BN KSISF,48,32,16,
74,Kalaburgi Range,9,1,8,
,,,,,
