Aadhaar e-Sign details of Chargesheet for the Month of October 2024,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Dakshina Kannada District,29,28,96.55
2,Mysuru City,40,36,90.00
3,Koppal District,28,25,89.29
4,Chikkamagaluru District,116,103,88.79
5,Udupi District,67,58,86.57
6,Dharwad District,35,30,85.71
7,Belagavi District,100,84,84.00
8,Gadag District,96,80,83.33
9,Mangalore COP,137,113,82.48
10,Ballari District,43,35,81.40
11,Ramanagara District,93,67,72.04
12,Uttara Kannada District,89,62,69.66
13,Mandya District,187,120,64.17
14,Vijayapur District,56,33,58.93
15,Chamarajanagar District,111,64,57.66
16,Kalaburagi City,30,17,56.67
17,SP Railways,2,1,50.00
18,Davanagere District,76,37,48.68
19,Bagalkot District,27,13,48.15
20,Bengaluru District,218,104,47.71
21,Tumakuru District,280,125,44.64
22,Chitradurga District,39,16,41.03
23,Vijayanagara District,37,15,40.54
24,Hassan District,136,51,37.50
25,Kolar District,68,25,36.76
26,Hubballi Dharwad City,75,27,36.00
27,Belagavi City,23,8,34.78
28,K.G.F District,24,8,33.33
29,Yadgir District,69,23,33.33
30,Chickballapura District,117,38,32.48
31,Haveri District,30,9,30.00
32,Bengaluru City,890,235,26.40
33,Bidar District,55,12,21.82
34,Raichur District,97,17,17.53
35,Shivamogga District,50,7,14.00
36,Kalaburagi District,47,5,10.64
37,Mysuru District,60,5,8.33
38,Kodagu District,23,0,0.00
Total,,3700,1736,46.92
