Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
,Registration of Foreigners Act 1939,0,0,0,0
,Sub Total,7,2,0,0
15,FOREST,,,,
,Indian Forest Act 1927,1,0,1,0
,Forest (Conservation) Act 1980,7,0,0,1
,Sub Total,8,0,1,1
16,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
17,IMMORAL TRAFFIC,,,,
,Organised,79,8,15,24
,Un-Organised,46,6,7,10
,Sub Total,125,14,22,34
18,BONDED LABOUR SYSTEM,29,1,1,1
19,INDIAN MOTOR VEHICLE,2,0,1,0
20,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,2170,338,293,827
,Synthetic,1495,321,149,463
,Sub Total,3665,659,442,1290
21,PASSPORT ACT,,,,
,Foreigner,0,0,0,0
,Indian,5,0,3,0
,Sub Total,5,0,3,0
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,,,,
,Assembly,309,0,171,0
,Parliament,0,0,0,0
,Other Elected Bodies,17,3,9,0
,Sub Total,326,3,180,0
23,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),2662,544,315,700
,Street Gambling (87),2754,462,261,578
,House Gambling (79 & 80),119,18,8,46
,Betting,316,12,73,12
,Others,821,30,57,43
,Sub Total,6672,1066,714,1379
24,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY
ACT 1984",64,11,10,12
25,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",8,0,3,1
26,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,0,0,0,0
,Essential Services Maintenance Act 1981,0,0,0,0
,Sub Total,0,0,0,0
27,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
28,RAILWAYS ACT,,,,
,Indian Railways Act 1989,2,1,0,0
,Railway Property (Unlawful Possession) Act 1966,1,0,0,1
,Sub Total,3,1,0,1
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,0,0,0,0
30,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,983,200,137,212
,Commission of SATI (Prevention) Act 1987,1,0,0,1
,"Indecent Representation of Women (Prohibition) Act
1986",0,1,0,0
,Sub Total,984,201,137,213
31,INDIAN LUNACY ACT,0,0,0,0
