S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSRP PTS BELAGAVI,18,15,3,
76,KSRP Training Munirabad,14,13,1,
77,PDMS Yelahanka,32,10,22,
78,PTC Gulbarga,45,1,44,
79,PTS Aimangala,19,4,15,
80,PTS Dharwad,19,4,15,
81,PTS Hassan,20,0,20,
82,PTS Kaduru,16,0,16,
83,PTS Mysuru,21,8,13,
84,PTS Thanisandra,19,0,19,
85,RFSL Ballari,7,1,6,
86,RFSL Belgaum,10,0,10,
87,RFSL Davanagere,9,7,2,
88,RFSL Gulbarga,7,4,3,
89,RFSL Hubballi,5,1,4,
90,RFSL Mangalore,12,0,12,
91,RFSL Mysore,8,4,4,
92,SCRB,42,41,1,
93,Southern Range,7,4,3,
94,Special Task Force,8,0,8,
95,State Wireless,82,38,44,
96,TTI Bangalore,5,1,4,
97,Western Range,3,1,2,
,Grand Total,12924,6732,6192,
