S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Channapatna,23,7,16,
76,KSPTS Khanapur,20,17,3,
77,KSRP PTS BELAGAVI,16,16,0,
78,KSRP Training Munirabad,12,11,1,
79,PDMS Yelahanka,28,10,18,
80,PTC Gulbarga,27,22,5,
81,PTS Aimangala,20,9,11,
82,PTS Dharwad,18,6,12,
83,PTS Hassan,19,3,16,
84,PTS Kaduru,17,6,11,
85,PTS Mysuru,21,19,2,
86,PTS Thanisandra,20,0,20,
87,RFSL Ballari,5,3,2,
88,RFSL Belgaum,10,3,7,
89,RFSL Davanagere,8,7,1,
90,RFSL Gulbarga,7,1,6,
91,RFSL Hubballi,5,0,5,
92,RFSL Mangalore,9,0,9,
93,RFSL Mysore,8,3,5,
94,SCRB,42,41,1,
95,Southern Range,6,2,4,
96,Special Task Force,2,0,2,
97,State Wireless,83,43,40,
98,TTI Bangalore,4,4,0,
99,Western Range,3,1,2,
,Grand Total,12448,9382,3066,
