S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
36,Uttara Kannada,221,220,1,
37,Vijayanagara,137,137,0,
38,Vijayapur,219,219,0,
39,Yadgir,144,106,38,
40,Forest Cell,47,35,12,
41,CID,211,158,53,
42,ISD Bengaluru,75,70,5,
43,State INT,719,575,144,
44,APTS Yelahanka,19,5,14,
45,Battalion I - Bangalore,64,45,19,
46,Battalion II - Belgaum,34,23,11,
47,Battalion III - Bangalore,52,49,3,
48,Battalion IV - Bangalore,43,33,10,
49,Battalion IX - Bangalore,29,29,0,
50,Battalion V - Mysore,34,33,1,
51,Battalion VI - Gulbarga,39,39,0,
52,Battalion VII - Mangalore,34,31,3,
53,Battalion VIII - Shimoga,39,39,0,
54,Battalion X - Haveri,40,35,5,
55,Battalion XI - Hassan,47,45,2,
56,Battalion XII Tumakuru,40,39,1,
57,Central Range,6,2,4,
58,Centre for Counter Terrorism,44,1,43,
59,Chief Office,126,59,67,
60,COMMANDANT MOUNTED,KARP 20,18,2,
61,Eastern Range,3,3,0,
62,FPB Unit,19,2,17,
63,FSL Madiwala,21,12,9,
64,I.R.B. Vijayapura,40,24,16,
65,IGP TRAINING,8,8,0,
66,IIIrd BN KSISF,27,25,2,
67,IInd BN KSISF,25,24,1,
68,IRB Munirabad,50,41,9,
69,ISD,142,137,5,
70,Ist BN KSISF,43,43,0,
71,Kalaburgi Range,7,4,3,
72,KPA Mysore,34,34,0,
73,KSPTS Channapatna,20,20,0,
74,KSPTS Khanapur,21,21,0,
,,,,,
