S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,175,98,77,
2,Ballari,160,148,12,
3,Belagavi City,233,159,74,
4,Belagavi Dist,290,80,210,
5,Bengaluru City,"3,244",807,2437,
6,Bengaluru Dist,225,35,190,
7,Bidar,184,80,104,
8,Chamarajanagar,136,65,71,
9,Chickballapura,132,101,31,
10,Chikkamagaluru,204,81,123,
11,Chitradurga,195,51,144,
12,Coastal Security Police,56,3,53,
13,Dakshina Kannada,172,82,90,
14,Davanagere,224,67,157,
15,Dharwad,119,114,5,
16,Gadag,178,27,151,
17,Hassan,211,62,149,
18,Haveri,156,104,52,
19,Hubballi Dharwad City,287,100,187,
20,K.G.F,100,36,64,
21,Kalaburagi,211,71,140,
22,Kalaburagi City,183,40,143,
23,Karnataka Railways,94,12,82,
24,Kodagu,153,57,96,
25,Kolar,207,46,161,
26,Koppal,167,72,95,
27,Mandya,221,104,117,
28,Mangaluru City,247,53,194,
29,Mysuru City,282,84,198,
30,Mysuru Dist,193,108,85,
31,Raichur,187,86,101,
32,Ramanagara,204,63,141,
33,Shivamogga,214,119,95,
34,Tumakuru,333,86,247,
35,Udupi,173,79,94,
,,,,,
