Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Bagalkot District,304,304,100.00
2,Ballari District,357,357,100.00
3,Belagavi District,655,655,100.00
4,Chikkamagaluru District,353,353,100.00
5,Dakshina Kannada District,260,260,100.00
6,Dharwad District,200,200,100.00
7,Gadag District,189,189,100.00
8,Koppal District,217,217,100.00
9,Mysuru City,342,342,100.00
10,Udupi District,370,370,100.00
11,Uttara Kannada District,376,376,100.00
12,Haveri District,435,434,99.77
13,Bengaluru District,967,964,99.69
14,Vijayapur District,450,448,99.56
15,Chitradurga District,655,646,98.63
16,Mangalore COP,329,324,98.48
17,Hassan District,652,640,98.16
18,Yadgir District,196,192,97.96
19,Bengaluru City,5772,5647,97.83
20,Mandya District,525,502,95.62
21,Vijayanagara District,319,303,94.98
22,Kolar District,268,253,94.40
23,Mysuru District,629,587,93.32
24,Chamarajanagar District,253,235,92.89
25,Belagavi City,243,223,91.77
26,SP Railways,104,94,90.38
27,K.G.F District,123,111,90.24
28,Kalaburagi City,212,191,90.09
29,Bidar District,388,349,89.95
30,Raichur District,404,363,89.85
31,Hubballi Dharwad City,283,254,89.75
32,KODAGU(Madikeri) District,182,163,89.56
33,Chickballapura District,391,333,85.17
34,Tumakuru District,821,670,81.61
35,Shivamogga District,655,438,66.87
36,Davanagere District,485,283,58.35
37,Kalaburagi District,402,219,54.48
38,Ramanagara District,533,222,41.65
Total,,20299,18711,92.18
