Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",0,0,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),14,7,8,6
4,Kidnapping & Abduction of Children,515,243,257,258
4.1,For Ransom - of Children,1,1,1,0
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,1,0,0,1
4.6,Procuration of Minor Girls - For Prostitution,1,0,0,1
4.7,Procuration of Minor Girls - Importing of Girl,0,0,0,0
4.8,Procuration of Minor Girls - For Other Purposes,4,1,1,3
,Sub Total,522,245,259,263
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,26,23,12,14
7,POCSO Act,430,237,240,190
8,Death of Children due to miscarriage,2,3,0,2
9,Juvenile Justice Act,3,8,1,2
10,Child Labour (Pro.& Reg.) Act,5,6,1,4
11,Probation of Offenders Act,1,1,1,0
,Total (Item 1 to 11),1003,530,522,481
