Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,3 0 7,850,1157,326,1774,2100
2,State Highways,241,629,870,256,1495,1751
3,Other Roads,3 56,1195,1551,363,2218,2581
,TOTAL,904,2674,3578,945,5487,6432
