"Comparitive Crime Statement 17 for the Years 2021, 2022, and 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023 As on 30/06/2023,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-I (IPC Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder,1348,63,28,1258,0,7,52,0,1059,53,42,3,42,1375,55,33,1287,0,0,10,0,1122,117,5,1,32,661,3,13,645,0,0,0,0,280,362,0,0,
Attempt to murder,2449,150,9,2290,0,11,85,7,2066,63,34,7,17,2870,111,8,2751,0,4,27,6,1988,698,12,13,3,1403,21,3,1379,0,0,0,0,283,1094,0,1,
C.H.Not Amounting to murder,88,8,0,80,0,0,4,0,69,5,0,0,2,94,10,2,82,0,0,0,0,57,23,0,0,2,28,0,0,28,0,0,0,0,5,23,0,0,
Dacoity,180,19,3,158,0,0,4,0,127,17,10,0,0,222,14,4,204,0,0,0,0,128,71,5,0,0,83,0,2,81,0,0,0,0,18,63,0,0,
Preparation And Assembly For Dacoity,389,0,0,389,0,1,4,0,379,4,1,0,0,293,0,0,293,0,0,2,0,270,21,0,0,0,63,0,0,63,0,0,0,0,25,38,0,0,
Robbery,978,31,22,925,0,3,15,1,703,41,161,0,1,1067,33,11,1023,0,1,5,3,669,272,69,4,0,509,6,1,502,0,0,0,0,113,389,0,0,
Chain Snatching,664,13,5,646,0,1,8,0,456,25,156,0,0,669,3,8,658,0,1,3,1,388,211,53,1,0,303,2,2,299,0,0,0,0,43,256,0,0,
H.B.T by day,805,26,2,777,0,7,10,1,379,30,347,1,2,991,27,0,964,0,2,3,0,346,334,277,2,0,519,4,0,515,0,0,0,0,46,460,9,0,
H.B.T by night,4015,40,3,3972,0,28,30,5,1544,149,2210,2,4,4435,36,3,4396,0,12,5,2,1289,1470,1615,2,1,2155,8,0,2147,0,0,0,0,127,1937,83,0,
House theft,914,51,2,861,0,4,12,5,371,11,454,3,1,1294,59,1,1234,0,3,4,3,374,204,645,1,0,939,12,0,927,0,0,0,0,65,783,78,1,
Ordinary Theft,15908,374,199,15335,0,331,219,1587,4344,173,8550,115,16,19464,437,295,18732,0,181,92,1019,5099,3120,9114,100,7,9528,120,76,9332,0,5,2,10,754,7501,1055,5,
