Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
35,CYBER CRIME,,,,
,"Information Technology Act 2000, 2009",2695,924,1325,1370
,Sub Total,2695,924,1325,1370
36,NATIONAL SECURITY ACT,0,0,0,0
37,POCSO,,,,
,Custodial Rape,0,0,0,0
,Gang Rape,1,2,1,0
,Rape with Murder,0,0,0,0
,Rape,298,177,170,128
,Others,131,58,69,62
,Sub Total,430,237,240,190
,Total (Item 1 to 36),7804,4070,3776,4028
C. CRIMES AGAINST WOMEN,,,,,
1,Rape (Sec. 376 IPC),,,,
,1.1 Custodial Rape,0,0,0,0
,1.2 Gang Rape,1,0,0,1
,1.3 other Cases of Rape,85,36,30,56
,Sub Total,86,36,30,57
2,Outraging modesty (Molestation) (sec.354 IPC),900,450,461,439
3,Kidnapping & Abduction of Women: (Sec.366 IPC),20,12,7,13
4,"Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC
if victim is a woman)",14,7,7,7
5,Murder for Dowry - by burning (Sec.302 IPC),0,0,0,0
6,"Murder for Dowry - by other means
(Sec.302 IPC)",3,1,2,1
7,Murder for other reasons,61,33,28,33
8,"Attempt to Commit Murder for dowry by burning
(Sec.307 IPC)",0,1,0,0
9,"Attempt to Commit Murder for dowry by other
means (Sec.307 IPC)",10,4,2,8
10,Attempt to Commit murder for other reasons,127,69,65,62
11,"Dowry Death-by burning
(Sec.304-B IPC)",0,0,0,0
12,Dowry Death-by other Means (Sec.304(B) IPC),15,13,6,9
13,"Cruelty by Husband or Relatives of Husband
(Sec.498-A IPC)",426,178,209,2017
14,Abetment of Suicide (Sec.306 IPC),25,15,10,15
15,Immoral Traffic (prevention) Act.,38,37,18,20
16,"Indecent Representation of Women(Prohibition) Act-
1986",0,1,0,0
17,Pornography,2,0,0,0
18,"Offences against Public Servants (Sec.182-188-333-
353 IPC)",11,10,4,7
19,Offences related to Marriage,11,2,6,5
20,Cyber Crimes,918,253,431,487
,Total (Item 1 to 20),2667,1122,1286,3180
