Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Dakshina Kannada,194,188,96.91
2,Belagavi Dist,618,597,96.60
3,Bagalkot,281,267,95.02
4,Ballari,277,258,93.14
5,Udupi,270,246,91.11
6,Chamarajanagar,294,262,89.12
7,Dharwad,170,150,88.24
8,Haveri,323,262,81.11
9,Vijayapur,443,353,79.68
10,Uttara Kannada,334,240,71.86
11,Hubballi Dharwad City,281,192,68.33
12,Davanagere,625,383,61.28
13,Koppal,211,126,59.72
14,Gadag,220,115,52.27
15,Kodagu,188,70,37.23
16,Chickballapura,378,115,30.42
17,Chikkamagaluru,422,104,24.64
18,Tumakuru,846,174,20.57
19,Mysuru Dist,470,92,19.57
20,Raichur,404,56,13.86
21,Hassan,600,83,13.83
22,Bengaluru City,8096,1000,12.35
23,Mangaluru City,331,40,12.08
24,Kalaburagi City,300,34,11.33
25,Shivamogga,579,58,10.02
26,Mysuru City,366,35,9.56
27,Bidar,381,35,9.19
28,Mandya,593,51,8.60
29,Belagavi City,189,12,6.35
30,K.G.F,105,6,5.71
31,Kalaburagi,345,19,5.51
32,Chitradurga,525,11,2.10
33,Karnataka Railways,104,1,0.96
34,Bengaluru Dist,960,0,0.00
35,Kolar,345,0,0.00
36,Ramanagara,485,0,0.00
37,Vijayanagara,271,0,0.00
38,Yadgir,164,0,0.00
TOTAL,,21988,5635,25.63
