Aadhaar e-Sign details of Chargesheet for the Month of November 2023,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Gadag District,147,131,89.12
2,Hubballi Dharwad City,330,274,83.03
3,Mangalore COP,258,205,79.46
4,Ballari District,370,266,71.89
5,Udupi District,223,147,65.92
6,Dharwad District,157,87,55.41
7,Chamarajanagar District,206,108,52.43
8,Dakshina Kannada District,124,60,48.39
9,Belagavi District,309,124,40.13
10,Uttara Kannada District,243,89,36.63
11,K.G.F District,117,26,22.22
12,Vijayapur District,246,54,21.95
13,Koppal District,183,39,21.31
14,Bagalkot District,220,45,20.45
15,Vijayanagara District,300,61,20.33
16,Kolar District,346,66,19.08
17,Belagavi City,95,17,17.89
18,Mysuru City,258,38,14.73
19,KODAGU(Madikeri) District,120,17,14.17
20,Mandya District,498,61,12.25
21,Chikkamagaluru District,294,36,12.24
22,SP Railways,33,3,9.09
23,Bidar District,253,20,7.91
24,Davanagere District,272,19,6.99
25,Tumakuru District,689,47,6.82
26,Hassan District,366,23,6.28
27,Chickballapura District,310,15,4.84
28,Kalaburagi District,166,8,4.82
29,Kalaburagi City,131,6,4.58
30,Bengaluru City,3086,138,4.47
31,Shivamogga District,681,16,2.35
32,Chitradurga District,496,10,2.02
33,Raichur District,303,3,0.99
34,Ramanagara District,293,2,0.68
35,Haveri District,167,1,0.60
36,Bengaluru District,543,0,0.00
37,Mysuru District,348,0,0.00
38,Yadgir District,123,0,0.00
Total,,13304,2262,17.00
