S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Channapatna,23,14,9,
76,KSPTS Khanapur,20,9,11,
77,KSRP PTS BELAGAVI,16,16,0,
78,KSRP Training Munirabad,16,11,5,
79,PDMS Yelahanka,24,4,20,
80,PTC Gulbarga,28,7,21,
81,PTS Aimangala,20,12,8,
82,PTS Dharwad,18,12,6,
83,PTS Hassan,19,2,17,
84,PTS Kaduru,17,0,17,
85,PTS Mysuru,21,4,17,
86,PTS Thanisandra,20,0,20,
87,RFSL Ballari,5,5,0,
88,RFSL Belgaum,10,0,10,
89,RFSL Davanagere,8,7,1,
90,RFSL Gulbarga,7,1,6,
91,RFSL Hubballi,5,0,5,
92,RFSL Mangalore,9,2,7,
93,RFSL Mysore,8,5,3,
94,SCRB,38,19,19,
95,Southern Range,6,1,5,
96,SP DCRE Bengaluru City,1,0,1,
97,SP DCRE Central Range,2,1,1,
98,SP DCRE Eastern Range,3,1,2,
99,SP DCRE NE Range,1,0,1,
100,SP DCRE Northern Range,3,1,2,
101,SP DCRE Southern Range,1,0,1,
102,SP DCRE Western Range,1,0,1,
103,Special Task Force,2,0,2,
104,State Wireless,83,58,25,
105,TTI Bangalore,3,3,0,
106,Western Range,3,1,2,
,Grand Total,12398,8718,3680,
