S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Channapatna,23,19,4,
76,KSPTS Khanapur,19,16,3,
77,KSRP PTS BELAGAVI,18,18,0,
78,KSRP Training Munirabad,14,11,3,
79,PDMS Yelahanka,32,15,17,
80,PTC Gulbarga,43,22,21,
81,PTS Aimangala,19,16,3,
82,PTS Dharwad,21,21,0,
83,PTS Hassan,20,0,20,
84,PTS Kaduru,16,0,16,
85,PTS Mysuru,21,21,0,
86,PTS Thanisandra,19,0,19,
87,RFSL Ballari,7,5,2,
88,RFSL Belgaum,9,0,9,
89,RFSL Davanagere,9,8,1,
90,RFSL Gulbarga,6,5,1,
91,RFSL Hubballi,5,0,5,
92,RFSL Mangalore,12,1,11,
93,RFSL Mysore,7,5,2,
94,SCRB,48,44,4,
95,Southern Range,7,5,2,
96,Special Task Force,8,0,8,
97,State Wireless,85,82,3,
98,TTI Bangalore,7,3,4,
99,Western Range,2,1,1,
,Grand Total,13633,9944,3689,
