Sl.No.,Location of Accidents,No. of Cases,,,No. of Persons,,
,,Fatal,Non-Fatal,Total,Killed,Injured,Total
1,National Highways,2 9 8,914,1212,315,1637,1952
2,State Highways,267,666,933,266,1244,1510
3,Other Roads,3 56,1331,1687,375,1975,2350
,TOTAL,921,2911,3832,956,4856,5812
