DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF NOVEMBER - 2023 (AS ON 06/12/2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"B
a
g
a
lk
o
t","B
a
lla
ri","B
e
la
g
a
v
i
C
ity","B
e
la
g
a
v
i
D
ist","B
e
n
g
a
lu
ru
city","B
e
n
g
a
lu
ru
D
istrict","B
id
a
r","C
h
a
m
a
ra
ja
n
a
g
a
r","C
h
ick
b
a
lla
p
u
ra","C
h
ik
k
a
m
a
g
a
lu
ru","C
h
itra
d
u
rg
a","D
a
k
sh
in
a
k
a
n
n
a
d
a","D
a
v
a
n
a
g
e
re","D
h
a
rw
a
d","G
a
d
a
g","H
a
ssa
n","H
a
v
e
ri","H
u
b
b
a
lli
D
h
a
rw
a
d
C
ity","K
.G
.F","K
a
la
b
u
ra
g
i","K
a
la
b
u
ra
g
i
C
ity","K
a
rn
a
ta
k
a
R
a
ilw
a
y
s","K
o
d
a
g
u","K
o
la
r","K
o
p
p
a
l","M
a
n
d
y
a","M
a
n
g
a
lo
o
ru
C
ity","M
y
su
ru
C
ity","M
y
su
ru
D
istrict","R
a
ich
u
r","R
a
m
a
n
a
g
a
ra","S
h
iv
a
m
o
g
g
a","T
u
m
a
k
u
ru","U
d
u
p
i","U
tta
ra
k
a
n
n
a
d
a","V
ija
y
a
n
a
g
a
ra","V
ija
y
a
p
u
r","Y
a
d
g
ir","T
o
ta
l"
1,MURDER,3,1,0,7,17,5,5,0,1,0,3,2,0,1,1,6,2,0,1,4,1,0,2,2,1,6,0,2,3,4,1,3,5,1,1,1,2,0,94
2,DACOITY,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14
3,ROBBERY,0,1,1,0,61,3,2,2,2,0,1,1,5,1,1,2,0,0,1,0,1,1,2,0,1,0,0,1,4,0,3,1,5,1,0,0,1,0,105
3a,CHAIN SNATCHING,0,1,3,1,13,3,0,0,4,1,0,1,3,0,0,3,0,1,0,0,1,1,0,0,0,4,1,1,1,0,3,1,5,0,0,0,1,0,53
4a,BURGLARY - DAY,3,1,4,6,18,8,2,1,1,4,1,1,3,2,0,2,2,6,2,2,1,0,1,0,1,3,1,0,4,1,1,1,6,0,0,1,0,2,92
4b,BURGLARY - NIGHT,9,5,4,16,75,24,6,3,8,2,8,3,23,3,2,4,24,7,8,7,5,0,7,8,9,10,5,6,16,4,14,17,11,6,9,3,9,1,381
5,THEFT,34,37,25,45,859,141,31,18,23,30,46,13,59,14,23,52,42,23,7,32,26,56,7,33,11,37,16,30,41,37,48,36,65,15,23,28,40,16,2119
6,RIOTS,10,5,2,21,16,7,13,6,12,1,13,2,13,8,8,5,23,1,0,14,4,0,1,15,9,0,0,0,5,15,9,14,6,3,5,8,6,4,284
7,CASES OF HURT,12,18,14,25,297,47,55,26,36,45,57,10,34,9,12,70,24,17,16,34,21,3,32,24,8,45,6,26,49,22,40,56,56,14,40,14,24,14,1352
8,Spl & Local laws,77,194,20,126,2254,118,86,61,116,71,113,18,97,63,122,62,65,245,34,71,33,7,36,74,95,75,171,49,54,186,86,163,150,42,114,166,80,41,5635
