Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Vijayapur District,454,418,92.07
2,Bagalkot District,353,320,90.65
3,Koppal District,293,263,89.76
4,SP Railways,67,56,83.58
5,Chikkamagaluru District,366,301,82.24
6,Dharwad District,163,127,77.91
7,Yadgir District,397,287,72.29
8,Uttara Kannada District,376,266,70.74
9,K.G.F District,102,71,69.61
10,Mysuru City,355,233,65.63
11,Kalaburagi City,262,160,61.07
12,Tumakuru District,829,501,60.43
13,Gadag District,156,92,58.97
14,Ballari District,374,215,57.49
15,Bengaluru South District,425,237,55.76
16,Belagavi District,689,374,54.28
17,Raichur District,431,217,50.35
18,Udupi District,237,119,50.21
19,Chitradurga District,576,283,49.13
20,Vijayanagara District,315,145,46.03
21,Mandya District,609,227,37.27
22,Dakshina Kannada District,228,79,34.65
23,Hubballi Dharwad City,239,80,33.47
24,Belagavi City,199,62,31.16
25,Kolar District,305,95,31.15
26,Haveri District,325,95,29.23
27,Bengaluru District,772,165,21.37
28,Bidar District,358,71,19.83
29,Bengaluru City,5498,1069,19.44
30,Hassan District,546,103,18.86
31,Chamarajanagar District,251,41,16.33
32,Kalaburagi District,391,43,11.00
33,Mangalore COP,328,23,7.01
34,Chickballapura District,316,22,6.96
35,Davanagere District,502,34,6.77
36,Mysuru District,550,37,6.73
37,Shivamogga District,738,11,1.49
38,KODAGU(Madikeri) District,206,0,0.00
Total,,19581,6942,35.45
