Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
D.CRIME AGAINST CHILDREN,,,,,
1,"Infanticide/ Foeticide
(Sec. 315 & 316 IPC)",0,0,0,0
2,Rape on Minor,0,0,0,0
3,Exposure & abandonment (Sec. 317 IPC),25,8,8,3
4,Kidnapping & Abduction of Children,1043,253,277,286
4.1,For Ransom - of Children,2,2,0,1
4.2,of Children - for begging,0,0,0,0
4.3,of Girls - Immoral Purpose,0,0,0,0
4.4,With intent to Steal from Child,0,0,0,0
4.5,Lawful Guardianship,1,0,0,0
4.6,Procuration of Minor Girls - For Prostitution,0,,0,0
4.7,Procuration of Minor Girls - Importing of Girl,1,1,0,1
4.8,Procuration of Minor Girls - For Other Purposes,3,1,0,0
,Sub Total,1050,257,277,288
5,Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
6,The Prohibition of Child Marriage Act - 2006,43,14,10,7
7,POCSO Act,991,277,270,256
8,Death of Children due to miscarriage,2,0,0,0
9,Juvenile Justice Act,23,3,2,19
10,Child Labour (Pro.& Reg.) Act,30,10,0,25
11,Probation of Offenders Act,1,0,0,0
,Total (Item 1 to 11),2165,569,567,598
