"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(Feb -2024)","During the current
Year Upto the month
under review","During the month
under review
(Feb-2024)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,3261,6262,2035,3899
2,Mysuru City,206,419,49,123
3,Hubballi Dharwad City,131,271,73,134
4,Mangaluru City,177,345,116,266
5,Belagavi City,122,278,23,54
6,Kalaburagi City,148,273,51,100
,Central Range,,,,
1,Bengaluru Dist,652,1296,158,308
2,Ramanagara,307,596,45,113
3,Tumakuru,558,1162,128,257
4,Kolar,171,357,39,82
5,Chickballapura,233,433,86,188
6,K.G.F,77,144,25,50
,Eastern Range,,,,
1,Chitradurga,321,689,88,188
2,Davanagere,283,548,102,188
3,Shivamogga,388,783,158,281
4,Haveri,238,483,137,206
,Western Range,,,,
1,Dakshina Kannada,184,374,22,50
2,Udupi,249,512,64,119
3,Chikkamagaluru,239,485,81,159
4,Uttara Kannada,223,458,77,144
,Northern Range,,,,
1,Belagavi Dist,415,781,96,208
2,Bagalkot,215,388,67,152
3,Vijayapur,302,529,105,197
4,Dharwad,83,184,38,86
5,Gadag,80,172,63,107
,North Eastern Range,,,,
1,Kalaburagi,214,435,52,137
2,Bidar,279,550,65,139
3,Yadgir,114,225,62,103
,Southern Range,,,,
1,Mysuru Dist,402,812,48,127
2,Mandya,356,695,78,174
3,Chamarajanagar,175,348,49,89
4,Hassan,482,905,81,169
5,Kodagu,152,266,64,111
,Ballari Range,,,,
1,Ballari,201,372,92,206
2,Koppal,142,277,81,151
3,Raichur,226,400,80,227
4,Vijayanagara,158,273,50,122
,Karnataka Railways,68,141,3,8
,STATE,12232,23921,4731,9422
