S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
75,KSPTS Khanapur,21,20,1,
76,KSRP PTS BELAGAVI,18,18,0,
77,KSRP Training Munirabad,16,14,2,
78,PDMS Yelahanka,28,28,0,
79,PTC Gulbarga,35,32,3,
80,PTS Aimangala,18,7,11,
81,PTS Dharwad,19,5,14,
82,PTS Hassan,19,0,19,
83,PTS Kaduru,15,15,0,
84,PTS Mysuru,21,19,2,
85,PTS Thanisandra,19,0,19,
86,RFSL Ballari,4,3,1,
87,RFSL Belgaum,9,7,2,
88,RFSL Davanagere,8,8,0,
89,RFSL Gulbarga,8,7,1,
90,RFSL Hubballi,6,3,3,
91,RFSL Mangalore,12,6,6,
92,RFSL Mysore,9,6,3,
93,SCRB,49,48,1,
94,Southern Range,8,8,0,
95,Special Task Force,7,0,7,
96,State Wireless,91,91,0,
97,TTI Bangalore,1,1,0,
98,Western Range,2,2,0,
,Grand Total,13081,11167,1914,
