Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Tumakuru District,742,739,99.60
2,Koppal District,330,328,99.39
3,Dharwad District,128,127,99.22
4,Belagavi District,388,381,98.20
5,Chikkamagaluru District,283,277,97.88
6,Mysuru City,254,246,96.85
7,Kalaburagi City,222,215,96.85
8,Gadag District,157,152,96.82
9,Mandya District,440,425,96.59
10,Hassan District,503,482,95.83
11,Udupi District,203,194,95.57
12,Bagalkot District,293,280,95.56
13,Vijayapur District,306,292,95.42
14,Vijayanagara District,216,205,94.91
15,Ballari District,276,253,91.67
16,Dakshina Kannada District,157,142,90.45
17,Davanagere District,376,333,88.56
18,Uttara Kannada District,262,232,88.55
19,Bengaluru District,938,827,88.17
20,Belagavi City,157,134,85.35
21,Ramanagara District,429,363,84.62
22,Chamarajanagar District,275,228,82.91
23,Haveri District,311,248,79.74
24,Yadgir District,262,201,76.72
25,SP Railways,79,60,75.95
26,Kolar District,275,202,73.45
27,K.G.F District,110,80,72.73
28,Chitradurga District,468,327,69.87
29,Mysuru District,463,317,68.47
30,Bengaluru City,5286,3286,62.16
31,Bidar District,262,139,53.05
32,KODAGU(Madikeri) District,165,85,51.52
33,Mangalore COP,277,106,38.27
34,Hubballi Dharwad City,281,106,37.72
35,Shivamogga District,488,175,35.86
36,Raichur District,376,127,33.78
37,Chickballapura District,448,122,27.23
38,Kalaburagi District,242,37,15.29
Total,,17128,12473,72.82
