Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
7,"KIDNAPPING AND ABDUCTION (Sec.360, 361,
363 to 369 IPC/137(1)(A),137(1)(B),137(2),140
TO 142,97 BNS)",,,,
,Missing - Boy,1004,271,245,328
,Missing - Girl,334,81,66,68
,For Ransom - of Children,2,0,1,0
,For Ransom - of Cildren for Begging,0,0,0,0
,For Ransom - of Women,1,0,0,1
,For Ransom - of Girls for Immoral Purpose,1,0,0,0
,For Ransom - of Others,15,7,1,5
,Procuration of Minor Girls - For Prostitution,0,0,0,0
,Procuration of Minor Girls - Importring of Girl,0,0,0,0
,Procuration of Minor Girls - For other Purpose,0,1,0,0
,Espionage,0,0,0,0
,Intent to Steal From Child,0,0,0,0
,Murder (Homicide),0,0,0,0
,Obtain Signature Forcibly,1,0,0,0
,Recovering Loan,2,0,0,1
,Settling any Disputes,0,0,0,0
,Unnatural Lust / Illicit Intercourse,0,0,0,0
,Wrongful Confinement,11,2,3,4
,For Exporting,0,0,0,0
,From Lawful Guardianship,2,0,0,1
,For Camel Racing Etc.,0,0,0,0
,To Compel For Marriage,1,1,0,0
,For Slavery,0,0,0,0
,For Stealing From its Person,0,0,0,0
,Others,112,28,29,33
,Sub Total,1486,391,345,441
8,"DACOITY (Sec. 395 to 398
IPC/310(2),310(4),311,312 BNS)",,,,
,At ATM,0,0,0,0
,At Residential Premises,11,2,4,4
,On Highways,9,2,4,0
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,1,1,0,0
,On Other Roads,9,3,6,1
,In Other Places,17,2,6,2
,River & Sea,0,0,0,0
,Sub Total,47,10,20,7
8a,Preparation And Assembly for Dacoity,9,8,1,2
9,"Robbery (Sec.392 to 394
IPC/309(4),309(5),309(6) BNS)",,,,
,At ATM,0,0,0,0
,At Residential Premises,35,7,11,7
,On Highways,23,5,6,8
,In Trains,0,0,0,0
,At Banks,0,0,0,0
,At Commercial Places / Establishments,19,4,2,4
,In Other Places,135,22,39,26
,Chain Snatching,130,41,39,30
,Attempt to Commit,19,1,5,7
,Sub Total,361,80,102,82
10,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO
460, 462 IPC/305,R/W 331(1) TO 331(8),334(2)
BNS)",,,,
,At Residential Premises,815,221,163,225
,On Highways,1,0,0,0
,In Trains,0,0,0,0
,At Banks,14,2,1,3
,At Commercial Places / Establishments,168,37,40,37
,In Other Places,104,37,20,28
,Temple Theft,141,23,42,30
,Sub Total,1243,320,266,323
